#: table_doi: 10.17182/hepdata.86210.v1/t8
#: name: Table 8
#: description: Additional systematic error for PBPB 0-5 pct data: +2.7 pct -2.7 pct
Additional systematic error for PBPB 5-10 pct data: +3.5 pct -3.5 pct
Additional systematic error for PBPB 10-20 pct data: +3.5 pct -3.5 pct
Additional systematic error for PBPB 20-30 pct data: +4.1 pct -4.1 pct
Additional systematic error for PBPB 30-40 pct data: +3.7 pct -3.7 pct
Additional systematic error for PBPB 40-50 pct data: +3.9 pct -3.9 pct
Additional systematic error for PBPB 50-60 pct data: +3.6 pct -3.6 pct
Additional systematic error for PBPB 60-70 pct data: +4.6 pct -4.6 pct
Additional systematic error for PBPB 70-80 pct data: +5.9 pct -5.9 pct.

#: data_file: Fig6_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
1.05,1.0,1.1,0.385905,0.00016586,-0.00016586,0.0071912,-0.0071912
1.15,1.1,1.2,0.40084,0.00018903,-0.00018903,0.0076005,-0.0076005
1.2999999999999998,1.2,1.4,0.418223,0.00013803,-0.00013803,0.0087306,-0.0087306
1.5,1.4,1.6,0.436492,0.00017236,-0.00017236,0.01004,-0.01004
1.7000000000000002,1.6,1.8,0.448903,0.00021071,-0.00021071,0.011092,-0.011092
1.9,1.8,2.0,0.454063,0.00025032,-0.00025032,0.011824,-0.011824
2.1,2.0,2.2,0.455392,0.00032967,-0.00032967,0.012587,-0.012587
2.3,2.2,2.4,0.447811,0.00037288,-0.00037288,0.012479,-0.012479
2.5,2.4,2.6,0.433489,0.00041728,-0.00041728,0.012057,-0.012057
2.7,2.6,2.8,0.416557,0.00046348,-0.00046348,0.012416,-0.012416
2.9,2.8,3.0,0.393088,0.00050353,-0.00050353,0.011606,-0.011606
3.1,3.0,3.2,0.369306,0.00053769,-0.00053769,0.011092,-0.011092
3.4000000000000004,3.2,3.6,0.337618,0.00039777,-0.00039777,0.010376,-0.010376
3.8,3.6,4.0,0.288506,0.00043867,-0.00043867,0.008753,-0.008753
4.5,4.0,5.0,0.23011,0.00033051,-0.00033051,0.0070699,-0.0070699
5.5,5.0,6.0,0.17454,0.00042746,-0.00042746,0.0046674,-0.0046674
7.0,6.0,8.0,0.153942,0.00047994,-0.00047994,0.0039171,-0.0039171
9.0,8.0,10.0,0.163514,0.00097969,-0.00097969,0.0043767,-0.0043767
11.5,10.0,13.0,0.187576,0.0016526,-0.0016526,0.0060544,-0.0060544
16.5,13.0,20.0,0.228634,0.0029814,-0.0029814,0.010451,-0.010451
25.0,20.0,30.0,0.324423,0.010332,-0.010332,0.018817,-0.018817
40.0,30.0,50.0,0.421362,0.030261,-0.030261,0.030336,-0.030336

#: CENT,,,10-20 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.21251,0.00013053,-0.00013053,0.01196,-0.01196
0.225,0.2,0.25,0.219408,7.8061e-05,-7.8061e-05,0.0088228,-0.0088228
0.275,0.25,0.3,0.229416,6.9467e-05,-6.9467e-05,0.0080278,-0.0080278
0.32499999999999996,0.3,0.35,0.241571,6.7631e-05,-6.7631e-05,0.0070275,-0.0070275
0.375,0.35,0.4,0.254035,6.9229e-05,-6.9229e-05,0.006861,-0.006861
0.42500000000000004,0.4,0.45,0.266929,7.2814e-05,-7.2814e-05,0.0071119,-0.0071119
0.475,0.45,0.5,0.279983,7.9244e-05,-7.9244e-05,0.0074805,-0.0074805
0.525,0.5,0.55,0.293235,8.8581e-05,-8.8581e-05,0.0075799,-0.0075799
0.575,0.55,0.6,0.306376,9.8437e-05,-9.8437e-05,0.0075799,-0.0075799
0.625,0.6,0.65,0.319046,0.00011017,-0.00011017,0.0075875,-0.0075875
0.675,0.65,0.7,0.33148,0.00012322,-0.00012322,0.0074346,-0.0074346
0.725,0.7,0.75,0.343726,0.00013645,-0.00013645,0.0073979,-0.0073979
0.775,0.75,0.8,0.355079,0.00015153,-0.00015153,0.007432,-0.007432
0.825,0.8,0.85,0.366417,0.00016845,-0.00016845,0.0073998,-0.0073998
0.875,0.85,0.9,0.376649,0.00018775,-0.00018775,0.0070526,-0.0070526
0.925,0.9,0.95,0.386718,0.00020551,-0.00020551,0.0067204,-0.0067204
0.975,0.95,1.0,0.39586,0.00022559,-0.00022559,0.006962,-0.006962
1.05,1.0,1.1,0.408434,0.00017672,-0.00017672,0.0074656,-0.0074656
1.15,1.1,1.2,0.42425,0.00020234,-0.00020234,0.0075625,-0.0075625
1.2999999999999998,1.2,1.4,0.442969,0.00014578,-0.00014578,0.0087996,-0.0087996
1.5,1.4,1.6,0.462543,0.0001824,-0.0001824,0.010272,-0.010272
1.7000000000000002,1.6,1.8,0.476458,0.0002229,-0.0002229,0.011533,-0.011533
1.9,1.8,2.0,0.482069,0.000264,-0.000264,0.012315,-0.012315
2.1,2.0,2.2,0.484958,0.00035522,-0.00035522,0.012619,-0.012619
2.3,2.2,2.4,0.477647,0.00040054,-0.00040054,0.012621,-0.012621
2.5,2.4,2.6,0.465074,0.00044828,-0.00044828,0.012701,-0.012701
