#: table_doi: 10.17182/hepdata.58980.v1/t5
#: name: Table 5
#: description: Nuclear modification factor RAA in the centrality  regions 0 TO 5%, 5 TO 10% and 10 TO 30%.

#: data_file: Table5.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETARAP),,,< 1.0
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
6.0,5.6,6.4,0.2148,0.0016,-0.0016,0.0153,-0.0153
6.800000000000001,6.4,7.2,0.2153,0.0023,-0.0023,0.0154,-0.0154
8.4,7.2,9.6,0.2358,0.0024,-0.0024,0.0169,-0.0169
10.8,9.6,12.0,0.2682,0.005,-0.005,0.0193,-0.0193
13.2,12.0,14.4,0.3176,0.0098,-0.0098,0.023,-0.023
16.8,14.4,19.2,0.395,0.0142,-0.0142,0.0293,-0.0293
21.6,19.2,24.0,0.497,0.0304,-0.0304,0.038,-0.038
26.4,24.0,28.8,0.4893,0.0428,-0.0428,0.0387,-0.0387
32.0,28.8,35.2,0.4702,0.0497,-0.0497,0.0386,-0.0386
38.400000000000006,35.2,41.6,0.6024,0.0611,-0.0611,0.0554,-0.0554
44.8,41.6,48.0,0.808,0.11,-0.11,0.082,-0.082
54.4,48.0,60.8,0.7215,0.0808,-0.0808,0.0768,-0.0768
67.19999999999999,60.8,73.6,0.7242,0.0543,-0.0543,0.0815,-0.0815
80.0,73.6,86.4,0.5498,0.057,-0.057,0.0623,-0.0623
95.0,86.4,103.6,0.687,0.109,-0.109,0.078,-0.078

