#: table_doi: 10.17182/hepdata.59944.v1/t20
#: name: Table 20
#: description: Nuclear Modification Factor RAA in the centrality interval 30-40%.

#: data_file: Table20.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2815,0.0005,-0.0005,0.0418,-0.0418,4.79%,-4.79%
0.225,0.2,0.25,0.2828,0.0003,-0.0003,0.0358,-0.0358,4.79%,-4.79%
0.275,0.25,0.3,0.2901,0.0003,-0.0003,0.0349,-0.0349,4.79%,-4.79%
0.325,0.3,0.35,0.3001,0.0003,-0.0003,0.0347,-0.0347,4.79%,-4.79%
0.375,0.35,0.4,0.311,0.0004,-0.0004,0.0358,-0.0358,4.79%,-4.79%
0.425,0.4,0.45,0.3234,0.0004,-0.0004,0.038,-0.038,4.79%,-4.79%
0.475,0.45,0.5,0.3363,0.0004,-0.0004,0.0391,-0.0391,4.79%,-4.79%
0.525,0.5,0.55,0.3498,0.0004,-0.0004,0.0401,-0.0401,4.79%,-4.79%
0.575,0.55,0.6,0.3637,0.0005,-0.0005,0.0412,-0.0412,4.79%,-4.79%
0.625,0.6,0.65,0.3775,0.0005,-0.0005,0.0417,-0.0417,4.79%,-4.79%
0.675,0.65,0.7,0.3928,0.0006,-0.0006,0.0433,-0.0433,4.79%,-4.79%
0.725,0.7,0.75,0.4067,0.0007,-0.0007,0.0447,-0.0447,4.79%,-4.79%
0.775,0.75,0.8,0.419,0.0007,-0.0007,0.046,-0.046,4.79%,-4.79%
0.825,0.8,0.85,0.4329,0.0008,-0.0008,0.0475,-0.0475,4.79%,-4.79%
0.875,0.85,0.9,0.4469,0.0009,-0.0009,0.049,-0.049,4.79%,-4.79%
0.925,0.9,0.95,0.4592,0.001,-0.001,0.0503,-0.0503,4.79%,-4.79%
0.975,0.95,1.0,0.4712,0.0012,-0.0012,0.0516,-0.0516,4.79%,-4.79%
1.05,1.0,1.1,0.4847,0.0008,-0.0008,0.053,-0.053,4.79%,-4.79%
1.15,1.1,1.2,0.5067,0.001,-0.001,0.0555,-0.0555,4.79%,-4.79%
1.25,1.2,1.3,0.5232,0.001,-0.001,0.0575,-0.0575,4.79%,-4.79%
1.35,1.3,1.4,0.5354,0.001,-0.001,0.0589,-0.0589,4.79%,-4.79%
1.45,1.4,1.5,0.5438,0.0013,-0.0013,0.06,-0.06,4.79%,-4.79%
1.55,1.5,1.6,0.5534,0.0013,-0.0013,0.062,-0.062,4.79%,-4.79%
1.65,1.6,1.7,0.5603,0.0016,-0.0016,0.0628,-0.0628,4.79%,-4.79%
1.75,1.7,1.8,0.5661,0.0017,-0.0017,0.0634,-0.0634,4.79%,-4.79%
1.85,1.8,1.9,0.5771,0.002,-0.002,0.0646,-0.0646,4.79%,-4.79%
1.95,1.9,2.0,0.5776,0.0021,-0.0021,0.0646,-0.0646,4.79%,-4.79%
2.1,2.0,2.2,0.5667,0.0016,-0.0016,0.0631,-0.0631,4.79%,-4.79%
2.3,2.2,2.4,0.5561,0.0016,-0.0016,0.0618,-0.0618,4.79%,-4.79%
2.5,2.4,2.6,0.5495,0.002,-0.002,0.061,-0.061,4.79%,-4.79%
2.7,2.6,2.8,0.5303,0.002,-0.002,0.0587,-0.0587,4.79%,-4.79%
2.9,2.8,3.0,0.5065,0.003,-0.003,0.056,-0.056,4.79%,-4.79%
3.1,3.0,3.2,0.4829,0.0024,-0.0024,0.0532,-0.0532,4.79%,-4.79%
3.3,3.2,3.4,0.4598,0.0024,-0.0024,0.0506,-0.0506,4.79%,-4.79%
3.5,3.4,3.6,0.4468,0.0025,-0.0025,0.049,-0.049,4.79%,-4.79%
3.7,3.6,3.8,0.4281,0.0025,-0.0025,0.0469,-0.0469,4.79%,-4.79%
3.9,3.8,4.0,0.4091,0.0025,-0.0025,0.0447,-0.0447,4.79%,-4.79%
4.25,4.0,4.5,0.3797,0.0026,-0.0026,0.0414,-0.0414,4.79%,-4.79%
4.75,4.5,5.0,0.3519,0.0026,-0.0026,0.0384,-0.0384,4.79%,-4.79%
5.25,5.0,5.5,0.3293,0.0022,-0.0022,0.036,-0.036,4.79%,-4.79%
5.75,5.5,6.0,0.3183,0.0022,-0.0022,0.0348,-0.0348,4.79%,-4.79%
6.25,6.0,6.5,0.3137,0.0023,-0.0023,0.0343,-0.0343,4.79%,-4.79%
6.75,6.5,7.0,0.3136,0.0026,-0.0026,0.0344,-0.0344,4.79%,-4.79%
7.5,7.0,8.0,0.3151,0.0025,-0.0025,0.0345,-0.0345,4.79%,-4.79%
8.5,8.0,9.0,0.3304,0.0033,-0.0033,0.0362,-0.0362,4.79%,-4.79%
9.5,9.0,10.0,0.3458,0.0043,-0.0043,0.038,-0.038,4.79%,-4.79%
10.5,10.0,11.0,0.3671,0.0056,-0.0056,0.0407,-0.0407,4.79%,-4.79%
11.5,11.0,12.0,0.3771,0.007,-0.007,0.0421,-0.0421,4.79%,-4.79%
12.5,12.0,13.0,0.4014,0.0089,-0.0089,0.0454,-0.0454,4.79%,-4.79%
13.5,13.0,14.0,0.3985,0.0107,-0.0107,0.0459,-0.0459,4.79%,-4.79%
14.5,14.0,15.0,0.4212,0.0133,-0.0133,0.0494,-0.0494,4.79%,-4.79%
15.5,15.0,16.0,0.4174,0.0156,-0.0156,0.0499,-0.0499,4.79%,-4.79%
17.0,16.0,18.0,0.4624,0.0152,-0.0152,0.0571,-0.0571,4.79%,-4.79%
19.0,18.0,20.0,0.4709,0.0203,-0.0203,0.0607,-0.0607,4.79%,-4.79%
21.0,20.0,22.0,0.4937,0.027,-0.027,0.0666,-0.0666,4.79%,-4.79%
23.0,22.0,24.0,0.5054,0.0347,-0.0347,0.0718,-0.0718,4.79%,-4.79%
25.0,24.0,26.0,0.5197,0.0438,-0.0438,0.0777,-0.0777,4.79%,-4.79%
27.0,26.0,28.0,0.6072,0.0583,-0.0583,0.0945,-0.0945,4.79%,-4.79%
29.0,28.0,30.0,0.5366,0.0663,-0.0663,0.0868,-0.0868,4.79%,-4.79%
31.0,30.0,32.0,0.4956,0.0761,-0.0761,0.0832,-0.0832,4.79%,-4.79%
33.0,32.0,34.0,0.5997,0.0993,-0.0993,0.1043,-0.1043,4.79%,-4.79%
35.0,34.0,36.0,0.8039,0.135,-0.135,0.1445,-0.1445,4.79%,-4.79%
38.0,36.0,40.0,0.584,0.1009,-0.1009,0.1098,-0.1098,4.79%,-4.79%
42.5,40.0,45.0,0.5765,0.1209,-0.1209,0.1152,-0.1152,4.79%,-4.79%
47.5,45.0,50.0,0.9197,0.2068,-0.2068,0.1951,-0.1951,4.79%,-4.79%

