#: table_doi: 10.17182/hepdata.59944.v1/t28
#: name: Table 28
#: description: Nuclear Modification Factor RAA in the centrality interval 40-60%.

#: data_file: Table28.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,40.0-60.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.3572,0.0007,-0.0007,0.0524,-0.0524,5.93%,-5.93%
0.225,0.2,0.25,0.356,0.0004,-0.0004,0.045,-0.045,5.93%,-5.93%
0.275,0.25,0.3,0.3623,0.0004,-0.0004,0.0441,-0.0441,5.93%,-5.93%
0.325,0.3,0.35,0.3712,0.0004,-0.0004,0.0433,-0.0433,5.93%,-5.93%
0.375,0.35,0.4,0.382,0.0004,-0.0004,0.0447,-0.0447,5.93%,-5.93%
0.425,0.4,0.45,0.3942,0.0005,-0.0005,0.0471,-0.0471,5.93%,-5.93%
0.475,0.45,0.5,0.407,0.0005,-0.0005,0.0482,-0.0482,5.93%,-5.93%
0.525,0.5,0.55,0.4205,0.0005,-0.0005,0.0491,-0.0491,5.93%,-5.93%
0.575,0.55,0.6,0.4345,0.0006,-0.0006,0.0501,-0.0501,5.93%,-5.93%
0.625,0.6,0.65,0.4493,0.0006,-0.0006,0.0505,-0.0505,5.93%,-5.93%
0.675,0.65,0.7,0.4644,0.0007,-0.0007,0.0521,-0.0521,5.93%,-5.93%
0.725,0.7,0.75,0.4777,0.0008,-0.0008,0.0535,-0.0535,5.93%,-5.93%
0.775,0.75,0.8,0.4898,0.0009,-0.0009,0.0548,-0.0548,5.93%,-5.93%
0.825,0.8,0.85,0.5053,0.001,-0.001,0.0564,-0.0564,5.93%,-5.93%
0.875,0.85,0.9,0.5182,0.0011,-0.0011,0.0578,-0.0578,5.93%,-5.93%
0.925,0.9,0.95,0.5307,0.0012,-0.0012,0.0592,-0.0592,5.93%,-5.93%
0.975,0.95,1.0,0.5429,0.0013,-0.0013,0.0604,-0.0604,5.93%,-5.93%
1.05,1.0,1.1,0.5542,0.001,-0.001,0.0617,-0.0617,5.93%,-5.93%
1.15,1.1,1.2,0.5749,0.0011,-0.0011,0.0642,-0.0642,5.93%,-5.93%
1.25,1.2,1.3,0.5909,0.0011,-0.0011,0.0662,-0.0662,5.93%,-5.93%
1.35,1.3,1.4,0.6017,0.0011,-0.0011,0.0675,-0.0675,5.93%,-5.93%
1.45,1.4,1.5,0.6082,0.0014,-0.0014,0.0683,-0.0683,5.93%,-5.93%
1.55,1.5,1.6,0.616,0.0015,-0.0015,0.0702,-0.0702,5.93%,-5.93%
1.65,1.6,1.7,0.6213,0.0018,-0.0018,0.0708,-0.0708,5.93%,-5.93%
1.75,1.7,1.8,0.6263,0.0018,-0.0018,0.0713,-0.0713,5.93%,-5.93%
1.85,1.8,1.9,0.6386,0.0023,-0.0023,0.0727,-0.0727,5.93%,-5.93%
1.95,1.9,2.0,0.6398,0.0023,-0.0023,0.0727,-0.0727,5.93%,-5.93%
2.1,2.0,2.2,0.628,0.0018,-0.0018,0.0711,-0.0711,5.93%,-5.93%
2.3,2.2,2.4,0.6168,0.0018,-0.0018,0.0697,-0.0697,5.93%,-5.93%
2.5,2.4,2.6,0.6145,0.0022,-0.0022,0.0693,-0.0693,5.93%,-5.93%
2.7,2.6,2.8,0.5984,0.0023,-0.0023,0.0673,-0.0673,5.93%,-5.93%
2.9,2.8,3.0,0.5786,0.0034,-0.0034,0.065,-0.065,5.93%,-5.93%
3.1,3.0,3.2,0.5604,0.0029,-0.0029,0.0628,-0.0628,5.93%,-5.93%
3.3,3.2,3.4,0.5449,0.0029,-0.0029,0.0609,-0.0609,5.93%,-5.93%
3.5,3.4,3.6,0.5373,0.003,-0.003,0.06,-0.06,5.93%,-5.93%
3.7,3.6,3.8,0.524,0.0031,-0.0031,0.0584,-0.0584,5.93%,-5.93%
3.9,3.8,4.0,0.5056,0.0032,-0.0032,0.0562,-0.0562,5.93%,-5.93%
4.25,4.0,4.5,0.4791,0.0033,-0.0033,0.0532,-0.0532,5.93%,-5.93%
4.75,4.5,5.0,0.4585,0.0034,-0.0034,0.0509,-0.0509,5.93%,-5.93%
5.25,5.0,5.5,0.4398,0.0029,-0.0029,0.0489,-0.0489,5.93%,-5.93%
5.75,5.5,6.0,0.4302,0.0029,-0.0029,0.0478,-0.0478,5.93%,-5.93%
6.25,6.0,6.5,0.4287,0.0031,-0.0031,0.0477,-0.0477,5.93%,-5.93%
6.75,6.5,7.0,0.4327,0.0035,-0.0035,0.0482,-0.0482,5.93%,-5.93%
7.5,7.0,8.0,0.4326,0.0034,-0.0034,0.0482,-0.0482,5.93%,-5.93%
8.5,8.0,9.0,0.4452,0.0044,-0.0044,0.0497,-0.0497,5.93%,-5.93%
9.5,9.0,10.0,0.4581,0.0056,-0.0056,0.0512,-0.0512,5.93%,-5.93%
10.5,10.0,11.0,0.4747,0.0072,-0.0072,0.0534,-0.0534,5.93%,-5.93%
11.5,11.0,12.0,0.4889,0.009,-0.009,0.0555,-0.0555,5.93%,-5.93%
