#: table_doi: 10.17182/hepdata.59944.v1/t23
#: name: Table 23
#: description: Nuclear Modification Factor RAA in the centrality interval 60-70%.

#: data_file: Table23.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,60.0-70.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.4886,0.0015,-0.0015,0.0726,-0.0726,7.85%,-7.85%
0.225,0.2,0.25,0.4799,0.001,-0.001,0.0623,-0.0623,7.85%,-7.85%
0.275,0.25,0.3,0.4827,0.0009,-0.0009,0.0612,-0.0612,7.85%,-7.85%
0.325,0.3,0.35,0.4891,0.0009,-0.0009,0.0596,-0.0596,7.85%,-7.85%
0.375,0.35,0.4,0.4974,0.0009,-0.0009,0.061,-0.061,7.85%,-7.85%
0.425,0.4,0.45,0.5068,0.001,-0.001,0.0634,-0.0634,7.85%,-7.85%
0.475,0.45,0.5,0.518,0.001,-0.001,0.0643,-0.0643,7.85%,-7.85%
0.525,0.5,0.55,0.5287,0.0011,-0.0011,0.0648,-0.0648,7.85%,-7.85%
0.575,0.55,0.6,0.5415,0.0012,-0.0012,0.0656,-0.0656,7.85%,-7.85%
0.625,0.6,0.65,0.5534,0.0013,-0.0013,0.0655,-0.0655,7.85%,-7.85%
0.675,0.65,0.7,0.5666,0.0015,-0.0015,0.067,-0.067,7.85%,-7.85%
0.725,0.7,0.75,0.5807,0.0016,-0.0016,0.0685,-0.0685,7.85%,-7.85%
0.775,0.75,0.8,0.591,0.0018,-0.0018,0.0696,-0.0696,7.85%,-7.85%
0.825,0.8,0.85,0.603,0.002,-0.002,0.0709,-0.0709,7.85%,-7.85%
0.875,0.85,0.9,0.6124,0.0022,-0.0022,0.072,-0.072,7.85%,-7.85%
0.925,0.9,0.95,0.6274,0.0024,-0.0024,0.0737,-0.0737,7.85%,-7.85%
0.975,0.95,1.0,0.6354,0.0027,-0.0027,0.0745,-0.0745,7.85%,-7.85%
1.05,1.0,1.1,0.6448,0.0021,-0.0021,0.0756,-0.0756,7.85%,-7.85%
1.15,1.1,1.2,0.6642,0.0024,-0.0024,0.0781,-0.0781,7.85%,-7.85%
1.25,1.2,1.3,0.6735,0.0022,-0.0022,0.0794,-0.0794,7.85%,-7.85%
1.35,1.3,1.4,0.6803,0.0022,-0.0022,0.0803,-0.0803,7.85%,-7.85%
1.45,1.4,1.5,0.686,0.0028,-0.0028,0.0811,-0.0811,7.85%,-7.85%
1.55,1.5,1.6,0.691,0.0029,-0.0029,0.0828,-0.0828,7.85%,-7.85%
1.65,1.6,1.7,0.6925,0.0035,-0.0035,0.0829,-0.0829,7.85%,-7.85%
1.75,1.7,1.8,0.6941,0.0036,-0.0036,0.0831,-0.0831,7.85%,-7.85%
1.85,1.8,1.9,0.7095,0.0044,-0.0044,0.0848,-0.0848,7.85%,-7.85%
1.95,1.9,2.0,0.7103,0.0044,-0.0044,0.0849,-0.0849,7.85%,-7.85%
2.1,2.0,2.2,0.6945,0.0031,-0.0031,0.0827,-0.0827,7.85%,-7.85%
2.3,2.2,2.4,0.6876,0.0031,-0.0031,0.0817,-0.0817,7.85%,-7.85%
2.5,2.4,2.6,0.691,0.0035,-0.0035,0.0819,-0.0819,7.85%,-7.85%
2.7,2.6,2.8,0.6828,0.0036,-0.0036,0.0808,-0.0808,7.85%,-7.85%
2.9,2.8,3.0,0.6655,0.0047,-0.0047,0.0786,-0.0786,7.85%,-7.85%
3.1,3.0,3.2,0.6586,0.0057,-0.0057,0.0776,-0.0776,7.85%,-7.85%
3.3,3.2,3.4,0.6502,0.0058,-0.0058,0.0765,-0.0765,7.85%,-7.85%
3.5,3.4,3.6,0.6577,0.006,-0.006,0.0772,-0.0772,7.85%,-7.85%
3.7,3.6,3.8,0.6507,0.0062,-0.0062,0.0763,-0.0763,7.85%,-7.85%
3.9,3.8,4.0,0.6453,0.0064,-0.0064,0.0755,-0.0755,7.85%,-7.85%
4.25,4.0,4.5,0.6202,0.0068,-0.0068,0.0725,-0.0725,7.85%,-7.85%
4.75,4.5,5.0,0.6085,0.0072,-0.0072,0.0711,-0.0711,7.85%,-7.85%
5.25,5.0,5.5,0.5896,0.007,-0.007,0.069,-0.069,7.85%,-7.85%
5.75,5.5,6.0,0.5949,0.0077,-0.0077,0.0697,-0.0697,7.85%,-7.85%
6.25,6.0,6.5,0.5928,0.0085,-0.0085,0.0695,-0.0695,7.85%,-7.85%
6.75,6.5,7.0,0.5917,0.0096,-0.0096,0.0694,-0.0694,7.85%,-7.85%
7.5,7.0,8.0,0.5981,0.0093,-0.0093,0.0702,-0.0702,7.85%,-7.85%
8.5,8.0,9.0,0.6205,0.0121,-0.0121,0.0729,-0.0729,7.85%,-7.85%
9.5,9.0,10.0,0.6092,0.0153,-0.0153,0.0717,-0.0717,7.85%,-7.85%
10.5,10.0,11.0,0.6407,0.02,-0.02,0.0758,-0.0758,7.85%,-7.85%
11.5,11.0,12.0,0.6322,0.0249,-0.0249,0.0754,-0.0754,7.85%,-7.85%
12.5,12.0,13.0,0.6352,0.0308,-0.0308,0.0767,-0.0767,7.85%,-7.85%
13.5,13.0,14.0,0.6593,0.0384,-0.0384,0.081,-0.081,7.85%,-7.85%
14.5,14.0,15.0,0.6826,0.0472,-0.0472,0.0851,-0.0851,7.85%,-7.85%
15.5,15.0,16.0,0.6733,0.0559,-0.0559,0.0854,-0.0854,7.85%,-7.85%
17.0,16.0,18.0,0.757,0.0537,-0.0537,0.0986,-0.0986,7.85%,-7.85%
19.0,18.0,20.0,0.6926,0.0691,-0.0691,0.0938,-0.0938,7.85%,-7.85%
21.0,20.0,22.0,0.8371,0.0996,-0.0996,0.118,-0.118,7.85%,-7.85%
23.0,22.0,24.0,0.6308,0.1104,-0.1104,0.0928,-0.0928,7.85%,-7.85%
25.0,24.0,26.0,0.6933,0.1451,-0.1451,0.1063,-0.1063,7.85%,-7.85%
27.0,26.0,28.0,0.8716,0.2007,-0.2007,0.139,-0.139,7.85%,-7.85%
29.0,28.0,30.0,0.4064,0.1661,-0.1661,0.0672,-0.0672,7.85%,-7.85%
31.0,30.0,32.0,0.6818,0.2581,-0.2581,0.1168,-0.1168,7.85%,-7.85%
33.0,32.0,34.0,1.095,0.388,-0.388,0.194,-0.194,7.85%,-7.85%
35.0,34.0,36.0,0.7538,0.3773,-0.3773,0.1378,-0.1378,7.85%,-7.85%
38.0,36.0,40.0,0.7239,0.3241,-0.3241,0.1383,-0.1383,7.85%,-7.85%
42.5,40.0,45.0,0.6326,0.3655,-0.3655,0.1283,-0.1283,7.85%,-7.85%
47.5,45.0,50.0,0.7719,0.5461,-0.5461,0.166,-0.166,7.85%,-7.85%

