#: table_doi: 10.17182/hepdata.59944.v1/t16
#: name: Table 16
#: description: Nuclear Modification Factor RAA in the centrality interval 0-5%.

#: data_file: Table16.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.1921,0.0004,-0.0004,0.0296,-0.0296,4.53%,-4.53%
0.225,0.2,0.25,0.2001,0.0003,-0.0003,0.026,-0.026,4.53%,-4.53%
0.275,0.25,0.3,0.2076,0.0002,-0.0002,0.0249,-0.0249,4.53%,-4.53%
0.325,0.3,0.35,0.2163,0.0002,-0.0002,0.025,-0.025,4.53%,-4.53%
0.375,0.35,0.4,0.2254,0.0003,-0.0003,0.0257,-0.0257,4.53%,-4.53%
0.425,0.4,0.45,0.2366,0.0003,-0.0003,0.0274,-0.0274,4.53%,-4.53%
0.475,0.45,0.5,0.248,0.0003,-0.0003,0.0285,-0.0285,4.53%,-4.53%
0.525,0.5,0.55,0.2589,0.0003,-0.0003,0.0293,-0.0293,4.53%,-4.53%
0.575,0.55,0.6,0.27,0.0004,-0.0004,0.0302,-0.0302,4.53%,-4.53%
0.625,0.6,0.65,0.281,0.0004,-0.0004,0.0307,-0.0307,4.53%,-4.53%
0.675,0.65,0.7,0.2927,0.0004,-0.0004,0.0319,-0.0319,4.53%,-4.53%
0.725,0.7,0.75,0.3038,0.0005,-0.0005,0.0331,-0.0331,4.53%,-4.53%
0.775,0.75,0.8,0.3137,0.0006,-0.0006,0.0341,-0.0341,4.53%,-4.53%
0.825,0.8,0.85,0.3255,0.0006,-0.0006,0.0353,-0.0353,4.53%,-4.53%
0.875,0.85,0.9,0.3355,0.0007,-0.0007,0.0364,-0.0364,4.53%,-4.53%
0.925,0.9,0.95,0.3462,0.0008,-0.0008,0.0375,-0.0375,4.53%,-4.53%
0.975,0.95,1.0,0.3552,0.0009,-0.0009,0.0385,-0.0385,4.53%,-4.53%
1.05,1.0,1.1,0.3673,0.0006,-0.0006,0.0398,-0.0398,4.53%,-4.53%
1.15,1.1,1.2,0.385,0.0007,-0.0007,0.0417,-0.0417,4.53%,-4.53%
1.25,1.2,1.3,0.3968,0.0007,-0.0007,0.0431,-0.0431,4.53%,-4.53%
1.35,1.3,1.4,0.4063,0.0008,-0.0008,0.0442,-0.0442,4.53%,-4.53%
1.45,1.4,1.5,0.4153,0.001,-0.001,0.0453,-0.0453,4.53%,-4.53%
1.55,1.5,1.6,0.4227,0.001,-0.001,0.0469,-0.0469,4.53%,-4.53%
1.65,1.6,1.7,0.4284,0.0012,-0.0012,0.0475,-0.0475,4.53%,-4.53%
1.75,1.7,1.8,0.4323,0.0012,-0.0012,0.0479,-0.0479,4.53%,-4.53%
1.85,1.8,1.9,0.4392,0.0015,-0.0015,0.0487,-0.0487,4.53%,-4.53%
1.95,1.9,2.0,0.4393,0.0015,-0.0015,0.0487,-0.0487,4.53%,-4.53%
2.1,2.0,2.2,0.43,0.0012,-0.0012,0.0475,-0.0475,4.53%,-4.53%
2.3,2.2,2.4,0.4158,0.0012,-0.0012,0.0459,-0.0459,4.53%,-4.53%
2.5,2.4,2.6,0.4037,0.0014,-0.0014,0.0444,-0.0444,4.53%,-4.53%
2.7,2.6,2.8,0.3804,0.0014,-0.0014,0.0418,-0.0418,4.53%,-4.53%
2.9,2.8,3.0,0.3532,0.002,-0.002,0.0387,-0.0387,4.53%,-4.53%
3.1,3.0,3.2,0.3248,0.0016,-0.0016,0.0356,-0.0356,4.53%,-4.53%
3.3,3.2,3.4,0.2983,0.0015,-0.0015,0.0326,-0.0326,4.53%,-4.53%
3.5,3.4,3.6,0.2791,0.0015,-0.0015,0.0304,-0.0304,4.53%,-4.53%
3.7,3.6,3.8,0.2565,0.0014,-0.0014,0.0279,-0.0279,4.53%,-4.53%
3.9,3.8,4.0,0.2339,0.0014,-0.0014,0.0254,-0.0254,4.53%,-4.53%
4.25,4.0,4.5,0.2032,0.0013,-0.0013,0.022,-0.022,4.53%,-4.53%
4.75,4.5,5.0,0.1721,0.0012,-0.0012,0.0186,-0.0186,4.53%,-4.53%
5.25,5.0,5.5,0.1494,0.001,-0.001,0.0162,-0.0162,4.53%,-4.53%
5.75,5.5,6.0,0.139,0.0009,-0.0009,0.0151,-0.0151,4.53%,-4.53%
6.25,6.0,6.5,0.1336,0.0009,-0.0009,0.0145,-0.0145,4.53%,-4.53%
6.75,6.5,7.0,0.1323,0.001,-0.001,0.0144,-0.0144,4.53%,-4.53%
7.5,7.0,8.0,0.1334,0.001,-0.001,0.0145,-0.0145,4.53%,-4.53%
8.5,8.0,9.0,0.1431,0.0014,-0.0014,0.0156,-0.0156,4.53%,-4.53%
9.5,9.0,10.0,0.1535,0.0018,-0.0018,0.0168,-0.0168,4.53%,-4.53%
10.5,10.0,11.0,0.1614,0.0023,-0.0023,0.0178,-0.0178,4.53%,-4.53%
11.5,11.0,12.0,0.1743,0.003,-0.003,0.0193,-0.0193,4.53%,-4.53%
12.5,12.0,13.0,0.1847,0.0038,-0.0038,0.0208,-0.0208,4.53%,-4.53%
13.5,13.0,14.0,0.1965,0.0048,-0.0048,0.0224,-0.0224,4.53%,-4.53%
14.5,14.0,15.0,0.2063,0.0059,-0.0059,0.024,-0.024,4.53%,-4.53%
15.5,15.0,16.0,0.2246,0.0073,-0.0073,0.0267,-0.0267,4.53%,-4.53%
17.0,16.0,18.0,0.238,0.0069,-0.0069,0.0292,-0.0292,4.53%,-4.53%
19.0,18.0,20.0,0.2789,0.01,-0.01,0.0358,-0.0358,4.53%,-4.53%
21.0,20.0,22.0,0.2715,0.0127,-0.0127,0.0365,-0.0365,4.53%,-4.53%
23.0,22.0,24.0,0.3038,0.017,-0.017,0.0434,-0.0434,4.53%,-4.53%
25.0,24.0,26.0,0.3466,0.0226,-0.0226,0.0525,-0.0525,4.53%,-4.53%
27.0,26.0,28.0,0.3443,0.0276,-0.0276,0.0543,-0.0543,4.53%,-4.53%
29.0,28.0,30.0,0.3779,0.035,-0.035,0.062,-0.062,4.53%,-4.53%
31.0,30.0,32.0,0.3463,0.04,-0.04,0.059,-0.059,4.53%,-4.53%
33.0,32.0,34.0,0.4304,0.0529,-0.0529,0.076,-0.076,4.53%,-4.53%
35.0,34.0,36.0,0.3841,0.0584,-0.0584,0.07,-0.07,4.53%,-4.53%
38.0,36.0,40.0,0.4235,0.0541,-0.0541,0.0807,-0.0807,4.53%,-4.53%
42.5,40.0,45.0,0.3933,0.0628,-0.0628,0.0794,-0.0794,4.53%,-4.53%
47.5,45.0,50.0,0.416,0.0873,-0.0873,0.089,-0.089,4.53%,-4.53%

