#: table_doi: 10.17182/hepdata.59944.v1/t17
#: name: Table 17
#: description: Nuclear Modification Factor RAA in the centrality interval 5-10%.

#: data_file: Table17.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,5.0-10.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2002,0.0004,-0.0004,0.0309,-0.0309,4.72%,-4.72%
0.225,0.2,0.25,0.2064,0.0003,-0.0003,0.0268,-0.0268,4.72%,-4.72%
0.275,0.25,0.3,0.2135,0.0002,-0.0002,0.0256,-0.0256,4.72%,-4.72%
0.325,0.3,0.35,0.2225,0.0003,-0.0003,0.0258,-0.0258,4.72%,-4.72%
0.375,0.35,0.4,0.2319,0.0003,-0.0003,0.0265,-0.0265,4.72%,-4.72%
0.425,0.4,0.45,0.2432,0.0003,-0.0003,0.0283,-0.0283,4.72%,-4.72%
0.475,0.45,0.5,0.2551,0.0003,-0.0003,0.0294,-0.0294,4.72%,-4.72%
0.525,0.5,0.55,0.2669,0.0003,-0.0003,0.0303,-0.0303,4.72%,-4.72%
0.575,0.55,0.6,0.2783,0.0004,-0.0004,0.0312,-0.0312,4.72%,-4.72%
0.625,0.6,0.65,0.2899,0.0004,-0.0004,0.0317,-0.0317,4.72%,-4.72%
0.675,0.65,0.7,0.3023,0.0005,-0.0005,0.033,-0.033,4.72%,-4.72%
0.725,0.7,0.75,0.3136,0.0005,-0.0005,0.0342,-0.0342,4.72%,-4.72%
0.775,0.75,0.8,0.3235,0.0006,-0.0006,0.0352,-0.0352,4.72%,-4.72%
0.825,0.8,0.85,0.3364,0.0006,-0.0006,0.0365,-0.0365,4.72%,-4.72%
0.875,0.85,0.9,0.3471,0.0007,-0.0007,0.0377,-0.0377,4.72%,-4.72%
