#: table_doi: 10.17182/hepdata.59944.v1/t21
#: name: Table 21
#: description: Nuclear Modification Factor RAA in the centrality interval 40-50%.

#: data_file: Table21.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,40.0-50.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.3347,0.0007,-0.0007,0.0491,-0.0491,5.45%,-5.45%
0.225,0.2,0.25,0.3345,0.0005,-0.0005,0.0421,-0.0421,5.45%,-5.45%
0.275,0.25,0.3,0.3417,0.0004,-0.0004,0.0412,-0.0412,5.45%,-5.45%
0.325,0.3,0.35,0.3505,0.0004,-0.0004,0.0405,-0.0405,5.45%,-5.45%
0.375,0.35,0.4,0.3615,0.0005,-0.0005,0.0418,-0.0418,5.45%,-5.45%
0.425,0.4,0.45,0.3744,0.0005,-0.0005,0.0442,-0.0442,5.45%,-5.45%
0.475,0.45,0.5,0.3872,0.0005,-0.0005,0.0453,-0.0453,5.45%,-5.45%
0.525,0.5,0.55,0.4009,0.0006,-0.0006,0.0463,-0.0463,5.45%,-5.45%
0.575,0.55,0.6,0.4155,0.0006,-0.0006,0.0474,-0.0474,5.45%,-5.45%
0.625,0.6,0.65,0.43,0.0007,-0.0007,0.0478,-0.0478,5.45%,-5.45%
0.675,0.65,0.7,0.4453,0.0008,-0.0008,0.0494,-0.0494,5.45%,-5.45%
0.725,0.7,0.75,0.4589,0.0009,-0.0009,0.0508,-0.0508,5.45%,-5.45%
0.775,0.75,0.8,0.4711,0.001,-0.001,0.052,-0.052,5.45%,-5.45%
0.825,0.8,0.85,0.4866,0.0011,-0.0011,0.0537,-0.0537,5.45%,-5.45%
0.875,0.85,0.9,0.4994,0.0012,-0.0012,0.055,-0.055,5.45%,-5.45%
0.925,0.9,0.95,0.5129,0.0013,-0.0013,0.0565,-0.0565,5.45%,-5.45%
0.975,0.95,1.0,0.525,0.0015,-0.0015,0.0577,-0.0577,5.45%,-5.45%
1.05,1.0,1.1,0.5368,0.0011,-0.0011,0.059,-0.059,5.45%,-5.45%
1.15,1.1,1.2,0.5581,0.0013,-0.0013,0.0615,-0.0615,5.45%,-5.45%
1.25,1.2,1.3,0.5753,0.0012,-0.0012,0.0636,-0.0636,5.45%,-5.45%
1.35,1.3,1.4,0.5868,0.0013,-0.0013,0.065,-0.065,5.45%,-5.45%
1.45,1.4,1.5,0.5929,0.0016,-0.0016,0.0657,-0.0657,5.45%,-5.45%
1.55,1.5,1.6,0.6013,0.0016,-0.0016,0.0678,-0.0678,5.45%,-5.45%
1.65,1.6,1.7,0.6065,0.002,-0.002,0.0683,-0.0683,5.45%,-5.45%
1.75,1.7,1.8,0.6115,0.002,-0.002,0.0688,-0.0688,5.45%,-5.45%
1.85,1.8,1.9,0.6241,0.0025,-0.0025,0.0702,-0.0702,5.45%,-5.45%
1.95,1.9,2.0,0.6258,0.0025,-0.0025,0.0703,-0.0703,5.45%,-5.45%
2.1,2.0,2.2,0.6149,0.0019,-0.0019,0.0688,-0.0688,5.45%,-5.45%
2.3,2.2,2.4,0.6032,0.0019,-0.0019,0.0674,-0.0674,5.45%,-5.45%
2.5,2.4,2.6,0.5996,0.0023,-0.0023,0.0668,-0.0668,5.45%,-5.45%
2.7,2.6,2.8,0.5824,0.0023,-0.0023,0.0648,-0.0648,5.45%,-5.45%
2.9,2.8,3.0,0.5611,0.0034,-0.0034,0.0623,-0.0623,5.45%,-5.45%
3.1,3.0,3.2,0.543,0.0031,-0.0031,0.0601,-0.0601,5.45%,-5.45%
3.3,3.2,3.4,0.5249,0.0031,-0.0031,0.058,-0.058,5.45%,-5.45%
3.5,3.4,3.6,0.5159,0.0032,-0.0032,0.0569,-0.0569,5.45%,-5.45%
3.7,3.6,3.8,0.5016,0.0032,-0.0032,0.0552,-0.0552,5.45%,-5.45%
3.9,3.8,4.0,0.4816,0.0033,-0.0033,0.0529,-0.0529,5.45%,-5.45%
4.25,4.0,4.5,0.4536,0.0034,-0.0034,0.0497,-0.0497,5.45%,-5.45%
4.75,4.5,5.0,0.4312,0.0035,-0.0035,0.0473,-0.0473,5.45%,-5.45%
5.25,5.0,5.5,0.4094,0.0031,-0.0031,0.0449,-0.0449,5.45%,-5.45%
5.75,5.5,6.0,0.4027,0.0032,-0.0032,0.0442,-0.0442,5.45%,-5.45%
6.25,6.0,6.5,0.4017,0.0035,-0.0035,0.0442,-0.0442,5.45%,-5.45%
6.75,6.5,7.0,0.4025,0.0039,-0.0039,0.0443,-0.0443,5.45%,-5.45%
7.5,7.0,8.0,0.405,0.0038,-0.0038,0.0446,-0.0446,5.45%,-5.45%
8.5,8.0,9.0,0.4186,0.0049,-0.0049,0.0461,-0.0461,5.45%,-5.45%
9.5,9.0,10.0,0.4268,0.0063,-0.0063,0.0472,-0.0472,5.45%,-5.45%
10.5,10.0,11.0,0.4384,0.0081,-0.0081,0.0488,-0.0488,5.45%,-5.45%
11.5,11.0,12.0,0.4636,0.0104,-0.0104,0.052,-0.052,5.45%,-5.45%
12.5,12.0,13.0,0.469,0.0129,-0.0129,0.0533,-0.0533,5.45%,-5.45%
13.5,13.0,14.0,0.4978,0.0162,-0.0162,0.0576,-0.0576,5.45%,-5.45%
14.5,14.0,15.0,0.53,0.0201,-0.0201,0.0625,-0.0625,5.45%,-5.45%
15.5,15.0,16.0,0.5248,0.0237,-0.0237,0.063,-0.063,5.45%,-5.45%
17.0,16.0,18.0,0.593,0.0232,-0.0232,0.0734,-0.0734,5.45%,-5.45%
19.0,18.0,20.0,0.6111,0.0314,-0.0314,0.079,-0.079,5.45%,-5.45%
21.0,20.0,22.0,0.6049,0.0405,-0.0405,0.0818,-0.0818,5.45%,-5.45%
23.0,22.0,24.0,0.6251,0.0525,-0.0525,0.0888,-0.0888,5.45%,-5.45%
25.0,24.0,26.0,0.5569,0.0618,-0.0618,0.083,-0.083,5.45%,-5.45%
27.0,26.0,28.0,0.6437,0.0819,-0.0819,0.0999,-0.0999,5.45%,-5.45%
29.0,28.0,30.0,0.6944,0.1032,-0.1032,0.1121,-0.1121,5.45%,-5.45%
31.0,30.0,32.0,0.4779,0.1023,-0.1023,0.0801,-0.0801,5.45%,-5.45%
33.0,32.0,34.0,0.611,0.1372,-0.1372,0.106,-0.106,5.45%,-5.45%
35.0,34.0,36.0,0.5473,0.1522,-0.1522,0.0981,-0.0981,5.45%,-5.45%
38.0,36.0,40.0,1.133,0.193,-0.193,0.213,-0.213,5.45%,-5.45%
42.5,40.0,45.0,0.7562,0.1898,-0.1898,0.1508,-0.1508,5.45%,-5.45%
47.5,45.0,50.0,1.041,0.301,-0.301,0.22,-0.22,5.45%,-5.45%

