#: table_doi: 10.17182/hepdata.59944.v1/t26
#: name: Table 26
#: description: Nuclear Modification Factor RAA in the centrality interval 0-20%.

#: data_file: Table26.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2039,0.0003,-0.0003,0.0312,-0.0312,4.35%,-4.35%
0.225,0.2,0.25,0.2102,0.0002,-0.0002,0.0272,-0.0272,4.35%,-4.35%
0.275,0.25,0.3,0.2175,0.0002,-0.0002,0.026,-0.026,4.35%,-4.35%
0.325,0.3,0.35,0.2266,0.0002,-0.0002,0.0262,-0.0262,4.35%,-4.35%
0.375,0.35,0.4,0.236,0.0002,-0.0002,0.0269,-0.0269,4.35%,-4.35%
0.425,0.4,0.45,0.2476,0.0002,-0.0002,0.0288,-0.0288,4.35%,-4.35%
0.475,0.45,0.5,0.2593,0.0002,-0.0002,0.0298,-0.0298,4.35%,-4.35%
0.525,0.5,0.55,0.271,0.0003,-0.0003,0.0307,-0.0307,4.35%,-4.35%
0.575,0.55,0.6,0.2827,0.0003,-0.0003,0.0317,-0.0317,4.35%,-4.35%
0.625,0.6,0.65,0.2946,0.0003,-0.0003,0.0322,-0.0322,4.35%,-4.35%
0.675,0.65,0.7,0.3068,0.0004,-0.0004,0.0334,-0.0334,4.35%,-4.35%
0.725,0.7,0.75,0.3184,0.0004,-0.0004,0.0346,-0.0346,4.35%,-4.35%
0.775,0.75,0.8,0.3285,0.0005,-0.0005,0.0357,-0.0357,4.35%,-4.35%
0.825,0.8,0.85,0.3412,0.0005,-0.0005,0.037,-0.037,4.35%,-4.35%
0.875,0.85,0.9,0.352,0.0006,-0.0006,0.0382,-0.0382,4.35%,-4.35%
0.925,0.9,0.95,0.3632,0.0006,-0.0006,0.0394,-0.0394,4.35%,-4.35%
0.975,0.95,1.0,0.3731,0.0007,-0.0007,0.0404,-0.0404,4.35%,-4.35%
1.05,1.0,1.1,0.3864,0.0005,-0.0005,0.0419,-0.0419,4.35%,-4.35%
1.15,1.1,1.2,0.4046,0.0005,-0.0005,0.0439,-0.0439,4.35%,-4.35%
1.25,1.2,1.3,0.4185,0.0006,-0.0006,0.0455,-0.0455,4.35%,-4.35%
1.35,1.3,1.4,0.429,0.0006,-0.0006,0.0467,-0.0467,4.35%,-4.35%
1.45,1.4,1.5,0.4377,0.0008,-0.0008,0.0478,-0.0478,4.35%,-4.35%
1.55,1.5,1.6,0.4461,0.0008,-0.0008,0.0495,-0.0495,4.35%,-4.35%
1.65,1.6,1.7,0.4525,0.001,-0.001,0.0502,-0.0502,4.35%,-4.35%
1.75,1.7,1.8,0.4571,0.0011,-0.0011,0.0507,-0.0507,4.35%,-4.35%
1.85,1.8,1.9,0.4655,0.0013,-0.0013,0.0516,-0.0516,4.35%,-4.35%
1.95,1.9,2.0,0.4658,0.0013,-0.0013,0.0516,-0.0516,4.35%,-4.35%
2.1,2.0,2.2,0.4564,0.0011,-0.0011,0.0505,-0.0505,4.35%,-4.35%
2.3,2.2,2.4,0.4434,0.0011,-0.0011,0.0489,-0.0489,4.35%,-4.35%
2.5,2.4,2.6,0.4321,0.0014,-0.0014,0.0476,-0.0476,4.35%,-4.35%
2.7,2.6,2.8,0.4099,0.0014,-0.0014,0.045,-0.045,4.35%,-4.35%
2.9,2.8,3.0,0.3833,0.0022,-0.0022,0.042,-0.042,4.35%,-4.35%
3.1,3.0,3.2,0.3559,0.0015,-0.0015,0.039,-0.039,4.35%,-4.35%
3.3,3.2,3.4,0.3298,0.0015,-0.0015,0.036,-0.036,4.35%,-4.35%
3.5,3.4,3.6,0.3109,0.0015,-0.0015,0.0339,-0.0339,4.35%,-4.35%
3.7,3.6,3.8,0.2889,0.0014,-0.0014,0.0314,-0.0314,4.35%,-4.35%
3.9,3.8,4.0,0.2662,0.0014,-0.0014,0.0289,-0.0289,4.35%,-4.35%
4.25,4.0,4.5,0.2351,0.0014,-0.0014,0.0255,-0.0255,4.35%,-4.35%
4.75,4.5,5.0,0.2031,0.0013,-0.0013,0.022,-0.022,4.35%,-4.35%
5.25,5.0,5.5,0.1799,0.0009,-0.0009,0.0195,-0.0195,4.35%,-4.35%
5.75,5.5,6.0,0.1688,0.0008,-0.0008,0.0183,-0.0183,4.35%,-4.35%
6.25,6.0,6.5,0.1627,0.0008,-0.0008,0.0177,-0.0177,4.35%,-4.35%
6.75,6.5,7.0,0.1617,0.0009,-0.0009,0.0176,-0.0176,4.35%,-4.35%
7.5,7.0,8.0,0.1625,0.0009,-0.0009,0.0177,-0.0177,4.35%,-4.35%
8.5,8.0,9.0,0.1719,0.0011,-0.0011,0.0187,-0.0187,4.35%,-4.35%
9.5,9.0,10.0,0.1829,0.0015,-0.0015,0.02,-0.02,4.35%,-4.35%
10.5,10.0,11.0,0.1941,0.0019,-0.0019,0.0214,-0.0214,4.35%,-4.35%
11.5,11.0,12.0,0.2075,0.0023,-0.0023,0.023,-0.023,4.35%,-4.35%
12.5,12.0,13.0,0.2202,0.0029,-0.0029,0.0248,-0.0248,4.35%,-4.35%
13.5,13.0,14.0,0.228,0.0035,-0.0035,0.0261,-0.0261,4.35%,-4.35%
14.5,14.0,15.0,0.2433,0.0043,-0.0043,0.0283,-0.0283,4.35%,-4.35%
15.5,15.0,16.0,0.2539,0.0051,-0.0051,0.0302,-0.0302,4.35%,-4.35%
17.0,16.0,18.0,0.2765,0.0052,-0.0052,0.034,-0.034,4.35%,-4.35%
19.0,18.0,20.0,0.3026,0.0069,-0.0069,0.0389,-0.0389,4.35%,-4.35%
21.0,20.0,22.0,0.3251,0.009,-0.009,0.0437,-0.0437,4.35%,-4.35%
23.0,22.0,24.0,0.3401,0.0114,-0.0114,0.0484,-0.0484,4.35%,-4.35%
25.0,24.0,26.0,0.361,0.0144,-0.0144,0.0545,-0.0545,4.35%,-4.35%
27.0,26.0,28.0,0.3788,0.0179,-0.0179,0.0596,-0.0596,4.35%,-4.35%
29.0,28.0,30.0,0.4222,0.0227,-0.0227,0.0691,-0.0691,4.35%,-4.35%
31.0,30.0,32.0,0.4016,0.0261,-0.0261,0.0682,-0.0682,4.35%,-4.35%
33.0,32.0,34.0,0.3981,0.0306,-0.0306,0.07,-0.07,4.35%,-4.35%
35.0,34.0,36.0,0.4547,0.0382,-0.0382,0.0826,-0.0826,4.35%,-4.35%
38.0,36.0,40.0,0.4529,0.0339,-0.0339,0.086,-0.086,4.35%,-4.35%
