#: table_doi: 10.17182/hepdata.59944.v1/t25
#: name: Table 25
#: description: Nuclear Modification Factor RAA in the centrality interval 0-10%.

#: data_file: Table25.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,0.0-10.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.1957,0.0003,-0.0003,0.0302,-0.0302,4.56%,-4.56%
0.225,0.2,0.25,0.2029,0.0002,-0.0002,0.0264,-0.0264,4.56%,-4.56%
0.275,0.25,0.3,0.2103,0.0002,-0.0002,0.0252,-0.0252,4.56%,-4.56%
0.325,0.3,0.35,0.2191,0.0002,-0.0002,0.0254,-0.0254,4.56%,-4.56%
0.375,0.35,0.4,0.2284,0.0002,-0.0002,0.0261,-0.0261,4.56%,-4.56%
0.425,0.4,0.45,0.2396,0.0002,-0.0002,0.0278,-0.0278,4.56%,-4.56%
0.475,0.45,0.5,0.2513,0.0003,-0.0003,0.0289,-0.0289,4.56%,-4.56%
0.525,0.5,0.55,0.2626,0.0003,-0.0003,0.0298,-0.0298,4.56%,-4.56%
0.575,0.55,0.6,0.2738,0.0003,-0.0003,0.0307,-0.0307,4.56%,-4.56%
0.625,0.6,0.65,0.2851,0.0004,-0.0004,0.0311,-0.0311,4.56%,-4.56%
0.675,0.65,0.7,0.297,0.0004,-0.0004,0.0324,-0.0324,4.56%,-4.56%
0.725,0.7,0.75,0.3083,0.0004,-0.0004,0.0336,-0.0336,4.56%,-4.56%
0.775,0.75,0.8,0.3182,0.0005,-0.0005,0.0346,-0.0346,4.56%,-4.56%
0.825,0.8,0.85,0.3304,0.0005,-0.0005,0.0359,-0.0359,4.56%,-4.56%
0.875,0.85,0.9,0.3407,0.0006,-0.0006,0.037,-0.037,4.56%,-4.56%
0.925,0.9,0.95,0.3513,0.0007,-0.0007,0.0381,-0.0381,4.56%,-4.56%
0.975,0.95,1.0,0.361,0.0008,-0.0008,0.0391,-0.0391,4.56%,-4.56%
1.05,1.0,1.1,0.3735,0.0005,-0.0005,0.0405,-0.0405,4.56%,-4.56%
1.15,1.1,1.2,0.3911,0.0006,-0.0006,0.0424,-0.0424,4.56%,-4.56%
1.25,1.2,1.3,0.404,0.0006,-0.0006,0.0439,-0.0439,4.56%,-4.56%
1.35,1.3,1.4,0.414,0.0007,-0.0007,0.0451,-0.0451,4.56%,-4.56%
1.45,1.4,1.5,0.4228,0.0008,-0.0008,0.0461,-0.0461,4.56%,-4.56%
1.55,1.5,1.6,0.4306,0.0009,-0.0009,0.0478,-0.0478,4.56%,-4.56%
1.65,1.6,1.7,0.4366,0.0011,-0.0011,0.0484,-0.0484,4.56%,-4.56%
1.75,1.7,1.8,0.4408,0.0011,-0.0011,0.0489,-0.0489,4.56%,-4.56%
1.85,1.8,1.9,0.4483,0.0013,-0.0013,0.0497,-0.0497,4.56%,-4.56%
1.95,1.9,2.0,0.4483,0.0014,-0.0014,0.0497,-0.0497,4.56%,-4.56%
2.1,2.0,2.2,0.4393,0.0011,-0.0011,0.0486,-0.0486,4.56%,-4.56%
2.3,2.2,2.4,0.4256,0.0011,-0.0011,0.047,-0.047,4.56%,-4.56%
2.5,2.4,2.6,0.4139,0.0014,-0.0014,0.0456,-0.0456,4.56%,-4.56%
2.7,2.6,2.8,0.3911,0.0014,-0.0014,0.043,-0.043,4.56%,-4.56%
2.9,2.8,3.0,0.3642,0.0021,-0.0021,0.04,-0.04,4.56%,-4.56%
3.1,3.0,3.2,0.3364,0.0015,-0.0015,0.0369,-0.0369,4.56%,-4.56%
3.3,3.2,3.4,0.3101,0.0014,-0.0014,0.0339,-0.0339,4.56%,-4.56%
3.5,3.4,3.6,0.2911,0.0014,-0.0014,0.0318,-0.0318,4.56%,-4.56%
3.7,3.6,3.8,0.2682,0.0014,-0.0014,0.0292,-0.0292,4.56%,-4.56%
3.9,3.8,4.0,0.2463,0.0014,-0.0014,0.0268,-0.0268,4.56%,-4.56%
4.25,4.0,4.5,0.2148,0.0013,-0.0013,0.0233,-0.0233,4.56%,-4.56%
4.75,4.5,5.0,0.1832,0.0012,-0.0012,0.0199,-0.0199,4.56%,-4.56%
5.25,5.0,5.5,0.1604,0.0009,-0.0009,0.0174,-0.0174,4.56%,-4.56%
5.75,5.5,6.0,0.15,0.0008,-0.0008,0.0163,-0.0163,4.56%,-4.56%
6.25,6.0,6.5,0.1436,0.0008,-0.0008,0.0156,-0.0156,4.56%,-4.56%
6.75,6.5,7.0,0.143,0.0009,-0.0009,0.0156,-0.0156,4.56%,-4.56%
7.5,7.0,8.0,0.1436,0.0009,-0.0009,0.0156,-0.0156,4.56%,-4.56%
8.5,8.0,9.0,0.153,0.0012,-0.0012,0.0167,-0.0167,4.56%,-4.56%
9.5,9.0,10.0,0.1649,0.0015,-0.0015,0.018,-0.018,4.56%,-4.56%
10.5,10.0,11.0,0.1736,0.002,-0.002,0.0191,-0.0191,4.56%,-4.56%
11.5,11.0,12.0,0.1854,0.0025,-0.0025,0.0206,-0.0206,4.56%,-4.56%
12.5,12.0,13.0,0.1969,0.0032,-0.0032,0.0222,-0.0222,4.56%,-4.56%
13.5,13.0,14.0,0.206,0.0039,-0.0039,0.0236,-0.0236,4.56%,-4.56%
14.5,14.0,15.0,0.2209,0.0048,-0.0048,0.0257,-0.0257,4.56%,-4.56%
15.5,15.0,16.0,0.2276,0.0057,-0.0057,0.0271,-0.0271,4.56%,-4.56%
17.0,16.0,18.0,0.2556,0.0058,-0.0058,0.0314,-0.0314,4.56%,-4.56%
19.0,18.0,20.0,0.2816,0.0079,-0.0079,0.0362,-0.0362,4.56%,-4.56%
21.0,20.0,22.0,0.2886,0.0101,-0.0101,0.0389,-0.0389,4.56%,-4.56%
23.0,22.0,24.0,0.3175,0.0134,-0.0134,0.0453,-0.0453,4.56%,-4.56%
25.0,24.0,26.0,0.3411,0.0172,-0.0172,0.0517,-0.0517,4.56%,-4.56%
