#: table_doi: 10.17182/hepdata.59944.v1/t27
#: name: Table 27
#: description: Nuclear Modification Factor RAA in the centrality interval 20-40%.

#: data_file: Table27.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,20.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2584,0.0004,-0.0004,0.0385,-0.0385,4.55%,-4.55%
0.225,0.2,0.25,0.2609,0.0003,-0.0003,0.0331,-0.0331,4.55%,-4.55%
0.275,0.25,0.3,0.2682,0.0003,-0.0003,0.0321,-0.0321,4.55%,-4.55%
0.325,0.3,0.35,0.2781,0.0003,-0.0003,0.032,-0.032,4.55%,-4.55%
0.375,0.35,0.4,0.2886,0.0003,-0.0003,0.0331,-0.0331,4.55%,-4.55%
0.425,0.4,0.45,0.301,0.0003,-0.0003,0.0352,-0.0352,4.55%,-4.55%
0.475,0.45,0.5,0.3139,0.0003,-0.0003,0.0363,-0.0363,4.55%,-4.55%
0.525,0.5,0.55,0.3268,0.0003,-0.0003,0.0373,-0.0373,4.55%,-4.55%
0.575,0.55,0.6,0.3405,0.0004,-0.0004,0.0384,-0.0384,4.55%,-4.55%
0.625,0.6,0.65,0.3541,0.0004,-0.0004,0.0389,-0.0389,4.55%,-4.55%
0.675,0.65,0.7,0.3685,0.0005,-0.0005,0.0404,-0.0404,4.55%,-4.55%
0.725,0.7,0.75,0.382,0.0005,-0.0005,0.0418,-0.0418,4.55%,-4.55%
0.775,0.75,0.8,0.3937,0.0006,-0.0006,0.043,-0.043,4.55%,-4.55%
0.825,0.8,0.85,0.4077,0.0007,-0.0007,0.0445,-0.0445,4.55%,-4.55%
0.875,0.85,0.9,0.4208,0.0007,-0.0007,0.0459,-0.0459,4.55%,-4.55%
0.925,0.9,0.95,0.4326,0.0008,-0.0008,0.0472,-0.0472,4.55%,-4.55%
0.975,0.95,1.0,0.4446,0.0009,-0.0009,0.0484,-0.0484,4.55%,-4.55%
1.05,1.0,1.1,0.4587,0.0006,-0.0006,0.0499,-0.0499,4.55%,-4.55%
1.15,1.1,1.2,0.4805,0.0007,-0.0007,0.0524,-0.0524,4.55%,-4.55%
1.25,1.2,1.3,0.4963,0.0008,-0.0008,0.0543,-0.0543,4.55%,-4.55%
1.35,1.3,1.4,0.5085,0.0008,-0.0008,0.0557,-0.0557,4.55%,-4.55%
1.45,1.4,1.5,0.5184,0.001,-0.001,0.0569,-0.0569,4.55%,-4.55%
1.55,1.5,1.6,0.5281,0.0011,-0.0011,0.0589,-0.0589,4.55%,-4.55%
1.65,1.6,1.7,0.5348,0.0013,-0.0013,0.0596,-0.0596,4.55%,-4.55%
1.75,1.7,1.8,0.5404,0.0013,-0.0013,0.0602,-0.0602,4.55%,-4.55%
1.85,1.8,1.9,0.5506,0.0016,-0.0016,0.0613,-0.0613,4.55%,-4.55%
1.95,1.9,2.0,0.5519,0.0017,-0.0017,0.0614,-0.0614,4.55%,-4.55%
2.1,2.0,2.2,0.5419,0.0014,-0.0014,0.0601,-0.0601,4.55%,-4.55%
2.3,2.2,2.4,0.5307,0.0014,-0.0014,0.0587,-0.0587,4.55%,-4.55%
2.5,2.4,2.6,0.523,0.0018,-0.0018,0.0577,-0.0577,4.55%,-4.55%
2.7,2.6,2.8,0.5031,0.0018,-0.0018,0.0554,-0.0554,4.55%,-4.55%
2.9,2.8,3.0,0.4785,0.0027,-0.0027,0.0526,-0.0526,4.55%,-4.55%
3.1,3.0,3.2,0.4519,0.002,-0.002,0.0496,-0.0496,4.55%,-4.55%
3.3,3.2,3.4,0.4291,0.002,-0.002,0.047,-0.047,4.55%,-4.55%
3.5,3.4,3.6,0.4139,0.002,-0.002,0.0452,-0.0452,4.55%,-4.55%
3.7,3.6,3.8,0.3938,0.002,-0.002,0.0429,-0.0429,4.55%,-4.55%
3.9,3.8,4.0,0.3726,0.0021,-0.0021,0.0405,-0.0405,4.55%,-4.55%
4.25,4.0,4.5,0.3436,0.0021,-0.0021,0.0373,-0.0373,4.55%,-4.55%
4.75,4.5,5.0,0.314,0.0021,-0.0021,0.0341,-0.0341,4.55%,-4.55%
5.25,5.0,5.5,0.2904,0.0016,-0.0016,0.0316,-0.0316,4.55%,-4.55%
5.75,5.5,6.0,0.2781,0.0015,-0.0015,0.0303,-0.0303,4.55%,-4.55%
