#: table_doi: 10.17182/hepdata.59944.v1/t19
#: name: Table 19
#: description: Nuclear Modification Factor RAA in the centrality interval 20-30%.

#: data_file: Table19.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,20.0-30.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2437,0.0004,-0.0004,0.0365,-0.0365,4.64%,-4.64%
0.225,0.2,0.25,0.2469,0.0003,-0.0003,0.0314,-0.0314,4.64%,-4.64%
0.275,0.25,0.3,0.2542,0.0003,-0.0003,0.0303,-0.0303,4.64%,-4.64%
0.325,0.3,0.35,0.2639,0.0003,-0.0003,0.0303,-0.0303,4.64%,-4.64%
0.375,0.35,0.4,0.2741,0.0003,-0.0003,0.0313,-0.0313,4.64%,-4.64%
0.425,0.4,0.45,0.2865,0.0003,-0.0003,0.0333,-0.0333,4.64%,-4.64%
0.475,0.45,0.5,0.2993,0.0003,-0.0003,0.0345,-0.0345,4.64%,-4.64%
0.525,0.5,0.55,0.3118,0.0004,-0.0004,0.0354,-0.0354,4.64%,-4.64%
0.575,0.55,0.6,0.3253,0.0004,-0.0004,0.0365,-0.0365,4.64%,-4.64%
0.625,0.6,0.65,0.3387,0.0004,-0.0004,0.037,-0.037,4.64%,-4.64%
0.675,0.65,0.7,0.3525,0.0005,-0.0005,0.0384,-0.0384,4.64%,-4.64%
0.725,0.7,0.75,0.3657,0.0006,-0.0006,0.0398,-0.0398,4.64%,-4.64%
0.775,0.75,0.8,0.377,0.0006,-0.0006,0.041,-0.041,4.64%,-4.64%
0.825,0.8,0.85,0.391,0.0007,-0.0007,0.0424,-0.0424,4.64%,-4.64%
0.875,0.85,0.9,0.4035,0.0008,-0.0008,0.0438,-0.0438,4.64%,-4.64%
0.925,0.9,0.95,0.4151,0.0009,-0.0009,0.045,-0.045,4.64%,-4.64%
0.975,0.95,1.0,0.4269,0.001,-0.001,0.0462,-0.0462,4.64%,-4.64%
1.05,1.0,1.1,0.4413,0.0007,-0.0007,0.0478,-0.0478,4.64%,-4.64%
1.15,1.1,1.2,0.4628,0.0008,-0.0008,0.0502,-0.0502,4.64%,-4.64%
1.25,1.2,1.3,0.4782,0.0008,-0.0008,0.052,-0.052,4.64%,-4.64%
1.35,1.3,1.4,0.4903,0.0009,-0.0009,0.0534,-0.0534,4.64%,-4.64%
1.45,1.4,1.5,0.5009,0.0011,-0.0011,0.0547,-0.0547,4.64%,-4.64%
1.55,1.5,1.6,0.5108,0.0011,-0.0011,0.0567,-0.0567,4.64%,-4.64%
1.65,1.6,1.7,0.5173,0.0014,-0.0014,0.0574,-0.0574,4.64%,-4.64%
1.75,1.7,1.8,0.5228,0.0014,-0.0014,0.0579,-0.0579,4.64%,-4.64%
1.85,1.8,1.9,0.5324,0.0017,-0.0017,0.059,-0.059,4.64%,-4.64%
1.95,1.9,2.0,0.5342,0.0018,-0.0018,0.0591,-0.0591,4.64%,-4.64%
2.1,2.0,2.2,0.5248,0.0014,-0.0014,0.0579,-0.0579,4.64%,-4.64%
2.3,2.2,2.4,0.5132,0.0014,-0.0014,0.0565,-0.0565,4.64%,-4.64%
2.5,2.4,2.6,0.505,0.0018,-0.0018,0.0555,-0.0555,4.64%,-4.64%
2.7,2.6,2.8,0.4847,0.0018,-0.0018,0.0532,-0.0532,4.64%,-4.64%
2.9,2.8,3.0,0.4598,0.0026,-0.0026,0.0503,-0.0503,4.64%,-4.64%
3.1,3.0,3.2,0.4316,0.0021,-0.0021,0.0471,-0.0471,4.64%,-4.64%
3.3,3.2,3.4,0.4091,0.002,-0.002,0.0446,-0.0446,4.64%,-4.64%
3.5,3.4,3.6,0.3928,0.002,-0.002,0.0427,-0.0427,4.64%,-4.64%
3.7,3.6,3.8,0.3719,0.002,-0.002,0.0404,-0.0404,4.64%,-4.64%
3.9,3.8,4.0,0.3496,0.002,-0.002,0.0379,-0.0379,4.64%,-4.64%
