#: table_doi: 10.17182/hepdata.59944.v1/t24
#: name: Table 24
#: description: Nuclear Modification Factor RAA in the centrality interval 70-80%.

#: data_file: Table24.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,70.0-80.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.5797,0.0025,-0.0025,0.089,-0.089,10.98%,-10.98%
0.225,0.2,0.25,0.5626,0.0015,-0.0015,0.0767,-0.0767,10.98%,-10.98%
0.275,0.25,0.3,0.56,0.0014,-0.0014,0.0754,-0.0754,10.98%,-10.98%
0.325,0.3,0.35,0.5625,0.0014,-0.0014,0.073,-0.073,10.98%,-10.98%
0.375,0.35,0.4,0.5661,0.0015,-0.0015,0.074,-0.074,10.98%,-10.98%
0.425,0.4,0.45,0.5734,0.0015,-0.0015,0.0763,-0.0763,10.98%,-10.98%
0.475,0.45,0.5,0.5813,0.0016,-0.0016,0.0768,-0.0768,10.98%,-10.98%
0.525,0.5,0.55,0.5906,0.0017,-0.0017,0.0772,-0.0772,10.98%,-10.98%
0.575,0.55,0.6,0.6006,0.0019,-0.0019,0.0777,-0.0777,10.98%,-10.98%
0.625,0.6,0.65,0.6081,0.002,-0.002,0.0771,-0.0771,10.98%,-10.98%
0.675,0.65,0.7,0.6226,0.0022,-0.0022,0.0789,-0.0789,10.98%,-10.98%
0.725,0.7,0.75,0.6281,0.0024,-0.0024,0.0793,-0.0793,10.98%,-10.98%
0.775,0.75,0.8,0.6398,0.0027,-0.0027,0.0807,-0.0807,10.98%,-10.98%
0.825,0.8,0.85,0.6502,0.003,-0.003,0.082,-0.082,10.98%,-10.98%
0.875,0.85,0.9,0.6606,0.0033,-0.0033,0.0832,-0.0832,10.98%,-10.98%
0.925,0.9,0.95,0.6669,0.0036,-0.0036,0.084,-0.084,10.98%,-10.98%
0.975,0.95,1.0,0.6715,0.004,-0.004,0.0844,-0.0844,10.98%,-10.98%
1.05,1.0,1.1,0.6844,0.0031,-0.0031,0.086,-0.086,10.98%,-10.98%
1.15,1.1,1.2,0.6994,0.0037,-0.0037,0.0881,-0.0881,10.98%,-10.98%
1.25,1.2,1.3,0.7057,0.0033,-0.0033,0.0892,-0.0892,10.98%,-10.98%
1.35,1.3,1.4,0.7108,0.0033,-0.0033,0.0899,-0.0899,10.98%,-10.98%
1.45,1.4,1.5,0.7103,0.0041,-0.0041,0.0899,-0.0899,10.98%,-10.98%
1.55,1.5,1.6,0.7155,0.0042,-0.0042,0.0917,-0.0917,10.98%,-10.98%
1.65,1.6,1.7,0.717,0.0052,-0.0052,0.0918,-0.0918,10.98%,-10.98%
1.75,1.7,1.8,0.721,0.0052,-0.0052,0.0923,-0.0923,10.98%,-10.98%
1.85,1.8,1.9,0.726,0.0063,-0.0063,0.0928,-0.0928,10.98%,-10.98%
1.95,1.9,2.0,0.726,0.0064,-0.0064,0.0927,-0.0927,10.98%,-10.98%
2.1,2.0,2.2,0.7259,0.0045,-0.0045,0.0924,-0.0924,10.98%,-10.98%
2.3,2.2,2.4,0.7181,0.0046,-0.0046,0.0913,-0.0913,10.98%,-10.98%
2.5,2.4,2.6,0.7282,0.005,-0.005,0.0924,-0.0924,10.98%,-10.98%
2.7,2.6,2.8,0.7265,0.0052,-0.0052,0.092,-0.092,10.98%,-10.98%
2.9,2.8,3.0,0.7207,0.0062,-0.0062,0.0911,-0.0911,10.98%,-10.98%
3.1,3.0,3.2,0.6969,0.0085,-0.0085,0.088,-0.088,10.98%,-10.98%
3.3,3.2,3.4,0.6921,0.0086,-0.0086,0.0872,-0.0872,10.98%,-10.98%
