#: table_doi: 10.17182/hepdata.59944.v1/t30
#: name: Table 30
#: description: Nuclear Modification Factor RAA in the centrality interval 60-80%.

#: data_file: Table30.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,60.0-80.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.5101,0.0014,-0.0014,0.077,-0.077,8.2%,-8.2%
0.225,0.2,0.25,0.4991,0.0009,-0.0009,0.0664,-0.0664,8.2%,-8.2%
0.275,0.25,0.3,0.5003,0.0008,-0.0008,0.0654,-0.0654,8.2%,-8.2%
0.325,0.3,0.35,0.5056,0.0008,-0.0008,0.0636,-0.0636,8.2%,-8.2%
0.375,0.35,0.4,0.5124,0.0008,-0.0008,0.0649,-0.0649,8.2%,-8.2%
0.425,0.4,0.45,0.5212,0.0009,-0.0009,0.0673,-0.0673,8.2%,-8.2%
0.475,0.45,0.5,0.5313,0.0009,-0.0009,0.0681,-0.0681,8.2%,-8.2%
0.525,0.5,0.55,0.5415,0.001,-0.001,0.0686,-0.0686,8.2%,-8.2%
0.575,0.55,0.6,0.5534,0.0011,-0.0011,0.0693,-0.0693,8.2%,-8.2%
0.625,0.6,0.65,0.5639,0.0012,-0.0012,0.0691,-0.0691,8.2%,-8.2%
0.675,0.65,0.7,0.5774,0.0013,-0.0013,0.0707,-0.0707,8.2%,-8.2%
0.725,0.7,0.75,0.5889,0.0014,-0.0014,0.0719,-0.0719,8.2%,-8.2%
0.775,0.75,0.8,0.5995,0.0016,-0.0016,0.0731,-0.0731,8.2%,-8.2%
0.825,0.8,0.85,0.611,0.0017,-0.0017,0.0744,-0.0744,8.2%,-8.2%
0.875,0.85,0.9,0.6205,0.0019,-0.0019,0.0755,-0.0755,8.2%,-8.2%
0.925,0.9,0.95,0.6329,0.0021,-0.0021,0.077,-0.077,8.2%,-8.2%
0.975,0.95,1.0,0.6399,0.0023,-0.0023,0.0777,-0.0777,8.2%,-8.2%
1.05,1.0,1.1,0.6502,0.0018,-0.0018,0.079,-0.079,8.2%,-8.2%
1.15,1.1,1.2,0.6682,0.0021,-0.0021,0.0814,-0.0814,8.2%,-8.2%
1.25,1.2,1.3,0.6765,0.0019,-0.0019,0.0826,-0.0826,8.2%,-8.2%
1.35,1.3,1.4,0.6828,0.0019,-0.0019,0.0835,-0.0835,8.2%,-8.2%
1.45,1.4,1.5,0.6866,0.0024,-0.0024,0.084,-0.084,8.2%,-8.2%
1.55,1.5,1.6,0.6916,0.0025,-0.0025,0.0857,-0.0857,8.2%,-8.2%
1.65,1.6,1.7,0.6932,0.003,-0.003,0.0858,-0.0858,8.2%,-8.2%
1.75,1.7,1.8,0.6954,0.0031,-0.0031,0.0861,-0.0861,8.2%,-8.2%
1.85,1.8,1.9,0.7077,0.0037,-0.0037,0.0875,-0.0875,8.2%,-8.2%
1.95,1.9,2.0,0.7083,0.0038,-0.0038,0.0875,-0.0875,8.2%,-8.2%
2.1,2.0,2.2,0.6971,0.0028,-0.0028,0.0858,-0.0858,8.2%,-8.2%
2.3,2.2,2.4,0.69,0.0028,-0.0028,0.0848,-0.0848,8.2%,-8.2%
2.5,2.4,2.6,0.6953,0.0032,-0.0032,0.0853,-0.0853,8.2%,-8.2%
2.7,2.6,2.8,0.689,0.0033,-0.0033,0.0844,-0.0844,8.2%,-8.2%
2.9,2.8,3.0,0.6752,0.0045,-0.0045,0.0825,-0.0825,8.2%,-8.2%
3.1,3.0,3.2,0.6635,0.005,-0.005,0.081,-0.081,8.2%,-8.2%
3.3,3.2,3.4,0.6562,0.0051,-0.0051,0.0799,-0.0799,8.2%,-8.2%
3.5,3.4,3.6,0.6631,0.0053,-0.0053,0.0806,-0.0806,8.2%,-8.2%
3.7,3.6,3.8,0.659,0.0055,-0.0055,0.08,-0.08,8.2%,-8.2%
3.9,3.8,4.0,0.6505,0.0057,-0.0057,0.0788,-0.0788,8.2%,-8.2%
4.25,4.0,4.5,0.6323,0.0061,-0.0061,0.0765,-0.0765,8.2%,-8.2%
4.75,4.5,5.0,0.6203,0.0064,-0.0064,0.0751,-0.0751,8.2%,-8.2%
5.25,5.0,5.5,0.6083,0.0062,-0.0062,0.0737,-0.0737,8.2%,-8.2%
5.75,5.5,6.0,0.6094,0.0067,-0.0067,0.0739,-0.0739,8.2%,-8.2%
6.25,6.0,6.5,0.6033,0.0073,-0.0073,0.0732,-0.0732,8.2%,-8.2%
6.75,6.5,7.0,0.6097,0.0083,-0.0083,0.0741,-0.0741,8.2%,-8.2%
7.5,7.0,8.0,0.6078,0.008,-0.008,0.0738,-0.0738,8.2%,-8.2%
8.5,8.0,9.0,0.6226,0.0103,-0.0103,0.0757,-0.0757,8.2%,-8.2%
9.5,9.0,10.0,0.6267,0.0132,-0.0132,0.0764,-0.0764,8.2%,-8.2%
10.5,10.0,11.0,0.642,0.0169,-0.0169,0.0786,-0.0786,8.2%,-8.2%
11.5,11.0,12.0,0.6186,0.0208,-0.0208,0.0763,-0.0763,8.2%,-8.2%
12.5,12.0,13.0,0.6684,0.0267,-0.0267,0.0833,-0.0833,8.2%,-8.2%
13.5,13.0,14.0,0.6622,0.0325,-0.0325,0.084,-0.084,8.2%,-8.2%
14.5,14.0,15.0,0.6994,0.0403,-0.0403,0.09,-0.09,8.2%,-8.2%
15.5,15.0,16.0,0.6615,0.0466,-0.0466,0.0864,-0.0864,8.2%,-8.2%
17.0,16.0,18.0,0.7259,0.0444,-0.0444,0.0973,-0.0973,8.2%,-8.2%
19.0,18.0,20.0,0.672,0.0573,-0.0573,0.0934,-0.0934,8.2%,-8.2%
21.0,20.0,22.0,0.7775,0.0807,-0.0807,0.1123,-0.1123,8.2%,-8.2%
23.0,22.0,24.0,0.6589,0.0948,-0.0948,0.0991,-0.0991,8.2%,-8.2%
25.0,24.0,26.0,0.6788,0.1206,-0.1206,0.1061,-0.1061,8.2%,-8.2%
