#: table_doi: 10.17182/hepdata.59944.v1/t29
#: name: Table 29
#: description: Nuclear Modification Factor RAA in the centrality interval 40-80%.

#: data_file: Table29.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,40.0-80.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.3858,0.0007,-0.0007,0.0574,-0.0574,6.26%,-6.26%
0.225,0.2,0.25,0.3829,0.0004,-0.0004,0.0496,-0.0496,6.26%,-6.26%
0.275,0.25,0.3,0.3884,0.0004,-0.0004,0.049,-0.049,6.26%,-6.26%
0.325,0.3,0.35,0.3967,0.0004,-0.0004,0.0481,-0.0481,6.26%,-6.26%
0.375,0.35,0.4,0.4068,0.0004,-0.0004,0.0495,-0.0495,6.26%,-6.26%
0.425,0.4,0.45,0.4185,0.0004,-0.0004,0.052,-0.052,6.26%,-6.26%
0.475,0.45,0.5,0.4309,0.0005,-0.0005,0.0531,-0.0531,6.26%,-6.26%
0.525,0.5,0.55,0.4439,0.0005,-0.0005,0.054,-0.054,6.26%,-6.26%
0.575,0.55,0.6,0.4576,0.0006,-0.0006,0.055,-0.055,6.26%,-6.26%
0.625,0.6,0.65,0.4717,0.0006,-0.0006,0.0554,-0.0554,6.26%,-6.26%
0.675,0.65,0.7,0.4866,0.0007,-0.0007,0.0571,-0.0571,6.26%,-6.26%
0.725,0.7,0.75,0.4997,0.0008,-0.0008,0.0584,-0.0584,6.26%,-6.26%
0.775,0.75,0.8,0.5116,0.0008,-0.0008,0.0598,-0.0598,6.26%,-6.26%
0.825,0.8,0.85,0.5265,0.0009,-0.0009,0.0614,-0.0614,6.26%,-6.26%
0.875,0.85,0.9,0.5389,0.0011,-0.0011,0.0628,-0.0628,6.26%,-6.26%
0.925,0.9,0.95,0.5515,0.0012,-0.0012,0.0643,-0.0643,6.26%,-6.26%
0.975,0.95,1.0,0.5628,0.0013,-0.0013,0.0655,-0.0655,6.26%,-6.26%
1.05,1.0,1.1,0.574,0.0009,-0.0009,0.0668,-0.0668,6.26%,-6.26%
1.15,1.1,1.2,0.5943,0.001,-0.001,0.0693,-0.0693,6.26%,-6.26%
1.25,1.2,1.3,0.6091,0.0011,-0.0011,0.0713,-0.0713,6.26%,-6.26%
1.35,1.3,1.4,0.6192,0.0011,-0.0011,0.0725,-0.0725,6.26%,-6.26%
1.45,1.4,1.5,0.6252,0.0014,-0.0014,0.0733,-0.0733,6.26%,-6.26%
1.55,1.5,1.6,0.6325,0.0014,-0.0014,0.0752,-0.0752,6.26%,-6.26%
1.65,1.6,1.7,0.6372,0.0017,-0.0017,0.0757,-0.0757,6.26%,-6.26%
1.75,1.7,1.8,0.6418,0.0018,-0.0018,0.0762,-0.0762,6.26%,-6.26%
1.85,1.8,1.9,0.6541,0.0022,-0.0022,0.0776,-0.0776,6.26%,-6.26%
1.95,1.9,2.0,0.6552,0.0022,-0.0022,0.0777,-0.0777,6.26%,-6.26%
2.1,2.0,2.2,0.6435,0.0018,-0.0018,0.076,-0.076,6.26%,-6.26%
2.3,2.2,2.4,0.6329,0.0018,-0.0018,0.0746,-0.0746,6.26%,-6.26%
2.5,2.4,2.6,0.632,0.0022,-0.0022,0.0744,-0.0744,6.26%,-6.26%
2.7,2.6,2.8,0.6175,0.0023,-0.0023,0.0725,-0.0725,6.26%,-6.26%
2.9,2.8,3.0,0.5986,0.0035,-0.0035,0.0702,-0.0702,6.26%,-6.26%
3.1,3.0,3.2,0.5815,0.0029,-0.0029,0.068,-0.068,6.26%,-6.26%
3.3,3.2,3.4,0.5673,0.0029,-0.0029,0.0662,-0.0662,6.26%,-6.26%
3.5,3.4,3.6,0.5622,0.003,-0.003,0.0655,-0.0655,6.26%,-6.26%
