#: table_doi: 10.17182/hepdata.59944.v1/t18
#: name: Table 18
#: description: Nuclear Modification Factor RAA in the centrality interval 10-20%.

#: data_file: Table18.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,normaliztion uncertainty +","sys,normaliztion uncertainty -"
0.175,0.15,0.2,0.2161,0.0004,-0.0004,0.0328,-0.0328,4.4%,-4.4%
0.225,0.2,0.25,0.2208,0.0002,-0.0002,0.0284,-0.0284,4.4%,-4.4%
0.275,0.25,0.3,0.228,0.0002,-0.0002,0.0273,-0.0273,4.4%,-4.4%
0.325,0.3,0.35,0.2374,0.0002,-0.0002,0.0274,-0.0274,4.4%,-4.4%
0.375,0.35,0.4,0.2472,0.0002,-0.0002,0.0282,-0.0282,4.4%,-4.4%
0.425,0.4,0.45,0.2592,0.0003,-0.0003,0.0301,-0.0301,4.4%,-4.4%
0.475,0.45,0.5,0.271,0.0003,-0.0003,0.0312,-0.0312,4.4%,-4.4%
0.525,0.5,0.55,0.2832,0.0003,-0.0003,0.0321,-0.0321,4.4%,-4.4%
0.575,0.55,0.6,0.2958,0.0004,-0.0004,0.0332,-0.0332,4.4%,-4.4%
0.625,0.6,0.65,0.3085,0.0004,-0.0004,0.0337,-0.0337,4.4%,-4.4%
0.675,0.65,0.7,0.3209,0.0004,-0.0004,0.035,-0.035,4.4%,-4.4%
0.725,0.7,0.75,0.333,0.0005,-0.0005,0.0362,-0.0362,4.4%,-4.4%
0.775,0.75,0.8,0.3436,0.0005,-0.0005,0.0373,-0.0373,4.4%,-4.4%
0.825,0.8,0.85,0.3569,0.0006,-0.0006,0.0387,-0.0387,4.4%,-4.4%
0.875,0.85,0.9,0.3685,0.0007,-0.0007,0.0399,-0.0399,4.4%,-4.4%
0.925,0.9,0.95,0.3806,0.0008,-0.0008,0.0413,-0.0413,4.4%,-4.4%
0.975,0.95,1.0,0.3907,0.0008,-0.0008,0.0423,-0.0423,4.4%,-4.4%
1.05,1.0,1.1,0.4051,0.0006,-0.0006,0.0439,-0.0439,4.4%,-4.4%
1.15,1.1,1.2,0.4242,0.0007,-0.0007,0.046,-0.046,4.4%,-4.4%
1.25,1.2,1.3,0.4397,0.0007,-0.0007,0.0478,-0.0478,4.4%,-4.4%
1.35,1.3,1.4,0.4512,0.0008,-0.0008,0.0491,-0.0491,4.4%,-4.4%
1.45,1.4,1.5,0.4596,0.0009,-0.0009,0.0501,-0.0501,4.4%,-4.4%
1.55,1.5,1.6,0.4688,0.001,-0.001,0.052,-0.052,4.4%,-4.4%
1.65,1.6,1.7,0.4757,0.0012,-0.0012,0.0527,-0.0527,4.4%,-4.4%
1.75,1.7,1.8,0.4811,0.0012,-0.0012,0.0533,-0.0533,4.4%,-4.4%
