#: table_doi: 10.17182/hepdata.67531.v2/t39
#: name: Table 39
#: description: Raa in different centrality intervals.
#: data_file: Table39.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,50-60
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.488,0.022%,-0.022%,9.5%,-9.5%
0.615,0.573,0.657,0.507,0.022%,-0.022%,9.4%,-9.4%
0.7050000000000001,0.657,0.753,0.531,0.023%,-0.023%,9.4%,-9.4%
0.808,0.753,0.863,0.558,0.025%,-0.025%,9.5%,-9.5%
0.9259999999999999,0.863,0.989,0.586,0.027%,-0.027%,9.5%,-9.5%
1.0594999999999999,0.989,1.13,0.616,0.03%,-0.03%,9.6%,-9.6%
1.21,1.13,1.29,0.642,0.034%,-0.034%,9.6%,-9.6%
1.385,1.29,1.48,0.664,0.038%,-0.038%,9.7%,-9.7%
1.5899999999999999,1.48,1.7,0.683,0.044%,-0.044%,9.7%,-9.7%
1.825,1.7,1.95,0.683,0.053%,-0.053%,9.7%,-9.7%
2.095,1.95,2.24,0.686,0.064%,-0.064%,9.7%,-9.7%
2.4050000000000002,2.24,2.57,0.67,0.079%,-0.079%,9.7%,-9.7%
2.755,2.57,2.94,0.65,0.1%,-0.1%,9.6%,-9.6%
3.1550000000000002,2.94,3.37,0.619,0.13%,-0.13%,9.6%,-9.6%
3.62,3.37,3.87,0.589,0.17%,-0.17%,9.6%,-9.6%
4.15,3.87,4.43,0.556,0.22%,-0.22%,9.6%,-9.6%
4.755,4.43,5.08,0.532,0.29%,-0.29%,9.6%,-9.6%
5.455,5.08,5.83,0.524,0.4%,-0.4%,9.5%,-9.5%
6.255,5.83,6.68,0.516,0.55%,-0.55%,9.5%,-9.5%
7.17,6.68,7.66,0.529,0.66%,-0.66%,9.5%,-9.5%
8.219999999999999,7.66,8.78,0.545,0.89%,-0.89%,9.5%,-9.5%
9.39,8.78,10.0,0.555,1.2%,-1.2%,9.5%,-9.5%
10.75,10.0,11.5,0.587,1.0%,-1.0%,9.5%,-9.5%
12.35,11.5,13.2,0.62,1.2%,-1.2%,9.5%,-9.5%
14.149999999999999,13.2,15.1,0.638,1.3%,-1.3%,9.4%,-9.4%
16.2,15.1,17.3,0.68,1.5%,-1.5%,9.5%,-9.5%
18.6,17.3,19.9,0.702,1.8%,-1.8%,9.5%,-9.5%
21.35,19.9,22.8,0.727,2.2%,-2.2%,9.5%,-9.5%
24.450000000000003,22.8,26.1,0.754,2.6%,-2.6%,9.6%,-9.6%
28.05,26.1,30.0,0.729,2.7%,-2.7%,9.5%,-9.5%
33.85,30.0,37.7,0.797,2.3%,-2.3%,9.5%,-9.5%
42.6,37.7,47.5,0.794,2.4%,-2.4%,9.7%,-9.7%
53.65,47.5,59.8,0.852,4.2%,-4.2%,10.3%,-10.3%
67.55,59.8,75.3,0.845,5.4%,-5.4%,10.5%,-10.5%
85.05,75.3,94.8,0.752,9.7%,-9.7%,10.7%,-10.7%
106.9,94.8,119.0,0.93,16.4%,-16.4%,11.0%,-11.0%

