#: table_doi: 10.17182/hepdata.67531.v2/t38
#: name: Table 38
#: description: Raa in different centrality intervals (not shown in Fig. 13).
#: data_file: Table38.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,40-50
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.422,0.021%,-0.021%,7.4%,-7.4%
0.615,0.573,0.657,0.442,0.021%,-0.021%,7.3%,-7.3%
0.7050000000000001,0.657,0.753,0.469,0.023%,-0.023%,7.3%,-7.3%
0.808,0.753,0.863,0.497,0.024%,-0.024%,7.4%,-7.4%
0.9259999999999999,0.863,0.989,0.528,0.027%,-0.027%,7.4%,-7.4%
1.0594999999999999,0.989,1.13,0.56,0.03%,-0.03%,7.4%,-7.4%
1.21,1.13,1.29,0.588,0.033%,-0.033%,7.5%,-7.5%
1.385,1.29,1.48,0.614,0.037%,-0.037%,7.5%,-7.5%
1.5899999999999999,1.48,1.7,0.634,0.043%,-0.043%,7.6%,-7.6%
1.825,1.7,1.95,0.636,0.052%,-0.052%,7.5%,-7.5%
2.095,1.95,2.24,0.638,0.062%,-0.062%,7.6%,-7.6%
2.4050000000000002,2.24,2.57,0.621,0.077%,-0.077%,7.5%,-7.5%
2.755,2.57,2.94,0.593,0.098%,-0.098%,7.5%,-7.5%
3.1550000000000002,2.94,3.37,0.556,0.13%,-0.13%,7.5%,-7.5%
3.62,3.37,3.87,0.516,0.16%,-0.16%,7.5%,-7.5%
4.15,3.87,4.43,0.473,0.22%,-0.22%,7.4%,-7.4%
4.755,4.43,5.08,0.442,0.29%,-0.29%,7.5%,-7.5%
5.455,5.08,5.83,0.424,0.39%,-0.39%,7.4%,-7.4%
6.255,5.83,6.68,0.421,0.54%,-0.54%,7.4%,-7.4%
7.17,6.68,7.66,0.421,0.64%,-0.64%,7.4%,-7.4%
8.219999999999999,7.66,8.78,0.442,0.87%,-0.87%,7.3%,-7.3%
9.39,8.78,10.0,0.45,1.2%,-1.2%,7.3%,-7.3%
10.75,10.0,11.5,0.485,1.0%,-1.0%,7.3%,-7.3%
12.35,11.5,13.2,0.521,1.1%,-1.1%,7.3%,-7.3%
14.149999999999999,13.2,15.1,0.549,1.2%,-1.2%,7.3%,-7.3%
16.2,15.1,17.3,0.586,1.3%,-1.3%,7.3%,-7.3%
18.6,17.3,19.9,0.618,1.6%,-1.6%,7.3%,-7.3%
21.35,19.9,22.8,0.645,2.0%,-2.0%,7.4%,-7.4%
24.450000000000003,22.8,26.1,0.657,2.2%,-2.2%,7.5%,-7.5%
28.05,26.1,30.0,0.686,2.2%,-2.2%,7.4%,-7.4%
33.85,30.0,37.7,0.715,1.8%,-1.8%,7.3%,-7.3%
42.6,37.7,47.5,0.767,2.0%,-2.0%,7.5%,-7.5%
53.65,47.5,59.8,0.788,2.6%,-2.6%,8.4%,-8.4%
67.55,59.8,75.3,0.807,4.0%,-4.0%,8.5%,-8.5%
85.05,75.3,94.8,0.877,6.6%,-6.6%,8.8%,-8.8%
106.9,94.8,119.0,0.638,12.9%,-12.9%,9.3%,-9.3%

