#: table_doi: 10.17182/hepdata.67531.v2/t40
#: name: Table 40
#: description: Raa in different centrality intervals.
#: data_file: Table40.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,60-80
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.581,0.022%,-0.022%,13.2%,-13.2%
0.615,0.573,0.657,0.596,0.023%,-0.023%,13.2%,-13.2%
0.7050000000000001,0.657,0.753,0.617,0.024%,-0.024%,13.2%,-13.2%
0.808,0.753,0.863,0.642,0.026%,-0.026%,13.2%,-13.2%
0.9259999999999999,0.863,0.989,0.665,0.028%,-0.028%,13.2%,-13.2%
1.0594999999999999,0.989,1.13,0.689,0.031%,-0.031%,13.2%,-13.2%
1.21,1.13,1.29,0.709,0.035%,-0.035%,13.3%,-13.3%
1.385,1.29,1.48,0.727,0.039%,-0.039%,13.3%,-13.3%
1.5899999999999999,1.48,1.7,0.74,0.045%,-0.045%,13.3%,-13.3%
1.825,1.7,1.95,0.74,0.054%,-0.054%,13.3%,-13.3%
2.095,1.95,2.24,0.743,0.065%,-0.065%,13.2%,-13.2%
2.4050000000000002,2.24,2.57,0.734,0.081%,-0.081%,13.2%,-13.2%
2.755,2.57,2.94,0.722,0.1%,-0.1%,13.2%,-13.2%
3.1550000000000002,2.94,3.37,0.708,0.13%,-0.13%,13.2%,-13.2%
3.62,3.37,3.87,0.687,0.17%,-0.17%,13.2%,-13.2%
4.15,3.87,4.43,0.667,0.23%,-0.23%,13.2%,-13.2%
4.755,4.43,5.08,0.656,0.3%,-0.3%,13.2%,-13.2%
5.455,5.08,5.83,0.649,0.4%,-0.4%,13.2%,-13.2%
6.255,5.83,6.68,0.65,0.56%,-0.56%,13.2%,-13.2%
7.17,6.68,7.66,0.656,0.68%,-0.68%,13.2%,-13.2%
8.219999999999999,7.66,8.78,0.665,0.91%,-0.91%,13.2%,-13.2%
9.39,8.78,10.0,0.684,1.2%,-1.2%,13.2%,-13.2%
10.75,10.0,11.5,0.698,1.1%,-1.1%,13.2%,-13.2%
12.35,11.5,13.2,0.719,1.2%,-1.2%,13.2%,-13.2%
14.149999999999999,13.2,15.1,0.747,1.4%,-1.4%,13.2%,-13.2%
16.2,15.1,17.3,0.761,1.6%,-1.6%,13.2%,-13.2%
18.6,17.3,19.9,0.776,2.0%,-2.0%,13.2%,-13.2%
21.35,19.9,22.8,0.773,2.4%,-2.4%,13.3%,-13.3%
24.450000000000003,22.8,26.1,0.797,2.8%,-2.8%,13.3%,-13.3%
28.05,26.1,30.0,0.785,3.0%,-3.0%,13.3%,-13.3%
33.85,30.0,37.7,0.777,2.7%,-2.7%,13.3%,-13.3%
42.6,37.7,47.5,0.822,3.0%,-3.0%,13.4%,-13.4%
53.65,47.5,59.8,0.808,4.0%,-4.0%,13.9%,-13.9%
67.55,59.8,75.3,0.827,6.9%,-6.9%,14.1%,-14.1%
85.05,75.3,94.8,0.923,11.6%,-11.6%,14.5%,-14.5%

