#: table_doi: 10.17182/hepdata.67531.v2/t35
#: name: Table 35
#: description: Raa in different centrality intervals.
#: data_file: Table35.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,10-20
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.299,0.02%,-0.02%,4.1%,-4.1%
0.615,0.573,0.657,0.317,0.021%,-0.021%,4.1%,-4.1%
0.7050000000000001,0.657,0.753,0.341,0.022%,-0.022%,4.2%,-4.2%
0.808,0.753,0.863,0.367,0.024%,-0.024%,4.2%,-4.2%
0.9259999999999999,0.863,0.989,0.396,0.026%,-0.026%,4.4%,-4.4%
1.0594999999999999,0.989,1.13,0.425,0.029%,-0.029%,4.4%,-4.4%
1.21,1.13,1.29,0.453,0.032%,-0.032%,4.5%,-4.5%
1.385,1.29,1.48,0.478,0.036%,-0.036%,4.5%,-4.5%
1.5899999999999999,1.48,1.7,0.5,0.042%,-0.042%,4.6%,-4.6%
1.825,1.7,1.95,0.502,0.051%,-0.051%,4.6%,-4.6%
2.095,1.95,2.24,0.504,0.061%,-0.061%,4.6%,-4.6%
2.4050000000000002,2.24,2.57,0.483,0.076%,-0.076%,4.6%,-4.6%
2.755,2.57,2.94,0.446,0.096%,-0.096%,4.6%,-4.6%
3.1550000000000002,2.94,3.37,0.397,0.12%,-0.12%,4.6%,-4.6%
3.62,3.37,3.87,0.34,0.16%,-0.16%,4.6%,-4.6%
4.15,3.87,4.43,0.285,0.21%,-0.21%,4.6%,-4.6%
4.755,4.43,5.08,0.244,0.28%,-0.28%,4.6%,-4.6%
5.455,5.08,5.83,0.217,0.38%,-0.38%,4.5%,-4.5%
6.255,5.83,6.68,0.206,0.53%,-0.53%,4.6%,-4.6%
7.17,6.68,7.66,0.205,0.62%,-0.62%,4.5%,-4.5%
8.219999999999999,7.66,8.78,0.216,0.84%,-0.84%,4.5%,-4.5%
9.39,8.78,10.0,0.227,1.1%,-1.1%,4.4%,-4.4%
10.75,10.0,11.5,0.251,0.96%,-0.96%,4.4%,-4.4%
12.35,11.5,13.2,0.278,1.1%,-1.1%,4.4%,-4.4%
14.149999999999999,13.2,15.1,0.303,1.2%,-1.2%,4.3%,-4.3%
16.2,15.1,17.3,0.336,1.2%,-1.2%,4.3%,-4.3%
18.6,17.3,19.9,0.363,1.4%,-1.4%,4.3%,-4.3%
21.35,19.9,22.8,0.404,1.7%,-1.7%,4.4%,-4.4%
24.450000000000003,22.8,26.1,0.433,1.9%,-1.9%,4.6%,-4.6%
28.05,26.1,30.0,0.439,1.7%,-1.7%,4.4%,-4.4%
33.85,30.0,37.7,0.515,1.4%,-1.4%,4.4%,-4.4%
42.6,37.7,47.5,0.559,1.5%,-1.5%,4.5%,-4.5%
53.65,47.5,59.8,0.612,1.4%,-1.4%,5.9%,-5.9%
67.55,59.8,75.3,0.629,2.1%,-2.1%,6.3%,-6.3%
85.05,75.3,94.8,0.675,3.5%,-3.5%,7.2%,-7.2%
106.9,94.8,119.0,0.744,6.1%,-6.1%,7.6%,-7.6%
134.5,119.0,150.0,0.759,10.6%,-10.6%,9.2%,-9.2%

