#: table_doi: 10.17182/hepdata.67531.v2/t37
#: name: Table 37
#: description: Raa in different centrality intervals.
#: data_file: Table37.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: Inclusive | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: ABS(ETA),,,0.0-2.0
#: CENTRALITY [pct],,,30-40
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,RAA,stat +,stat -,sys +,sys -
0.5365,0.5,0.573,0.371,0.021%,-0.021%,5.8%,-5.8%
0.615,0.573,0.657,0.391,0.021%,-0.021%,5.6%,-5.6%
0.7050000000000001,0.657,0.753,0.416,0.022%,-0.022%,5.6%,-5.6%
0.808,0.753,0.863,0.446,0.024%,-0.024%,5.8%,-5.8%
0.9259999999999999,0.863,0.989,0.476,0.026%,-0.026%,5.8%,-5.8%
1.0594999999999999,0.989,1.13,0.508,0.029%,-0.029%,5.8%,-5.8%
1.21,1.13,1.29,0.538,0.033%,-0.033%,5.9%,-5.9%
1.385,1.29,1.48,0.565,0.037%,-0.037%,6.0%,-6.0%
1.5899999999999999,1.48,1.7,0.588,0.043%,-0.043%,6.0%,-6.0%
1.825,1.7,1.95,0.591,0.051%,-0.051%,6.0%,-6.0%
2.095,1.95,2.24,0.595,0.062%,-0.062%,6.0%,-6.0%
2.4050000000000002,2.24,2.57,0.576,0.076%,-0.076%,6.0%,-6.0%
2.755,2.57,2.94,0.544,0.097%,-0.097%,6.0%,-6.0%
3.1550000000000002,2.94,3.37,0.501,0.12%,-0.12%,5.9%,-5.9%
3.62,3.37,3.87,0.452,0.16%,-0.16%,5.9%,-5.9%
4.15,3.87,4.43,0.403,0.21%,-0.21%,5.8%,-5.8%
4.755,4.43,5.08,0.366,0.28%,-0.28%,5.9%,-5.9%
5.455,5.08,5.83,0.344,0.38%,-0.38%,5.8%,-5.8%
6.255,5.83,6.68,0.334,0.54%,-0.54%,5.8%,-5.8%
7.17,6.68,7.66,0.336,0.63%,-0.63%,5.7%,-5.7%
8.219999999999999,7.66,8.78,0.352,0.85%,-0.85%,5.7%,-5.7%
9.39,8.78,10.0,0.365,1.2%,-1.2%,5.6%,-5.6%
10.75,10.0,11.5,0.398,0.98%,-0.98%,5.7%,-5.7%
12.35,11.5,13.2,0.428,1.1%,-1.1%,5.7%,-5.7%
14.149999999999999,13.2,15.1,0.455,1.2%,-1.2%,5.6%,-5.6%
16.2,15.1,17.3,0.483,1.3%,-1.3%,5.7%,-5.7%
18.6,17.3,19.9,0.529,1.5%,-1.5%,5.7%,-5.7%
21.35,19.9,22.8,0.557,1.8%,-1.8%,5.8%,-5.8%
24.450000000000003,22.8,26.1,0.589,2.0%,-2.0%,5.9%,-5.9%
28.05,26.1,30.0,0.593,2.0%,-2.0%,5.7%,-5.7%
33.85,30.0,37.7,0.68,1.6%,-1.6%,5.7%,-5.7%
42.6,37.7,47.5,0.719,1.8%,-1.8%,6.0%,-6.0%
53.65,47.5,59.8,0.753,1.8%,-1.8%,7.0%,-7.0%
67.55,59.8,75.3,0.773,3.1%,-3.1%,7.2%,-7.2%
85.05,75.3,94.8,0.814,5.1%,-5.1%,7.6%,-7.6%
106.9,94.8,119.0,0.884,8.8%,-8.8%,8.0%,-8.0%

