#: table_doi: 10.17182/hepdata.77101.v2/t14
#: name: Table 14
#: description: PbPb nuclear modification factor measured in 0-10% PbPb centrality class.
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,0-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.312226,1.6e-05,-1.6e-05,0.024453,-0.024453,0.005932,-0.009366,0.007181,-0.007181
0.85,0.8,0.9,0.334769,1.8e-05,-1.8e-05,0.026156,-0.026156,0.00636,-0.010043,0.007699,-0.007699
0.95,0.9,1.0,0.365736,2e-05,-2e-05,0.028714,-0.028714,0.006948,-0.010972,0.008411,-0.008411
1.05,1.0,1.1,0.386297,2.3e-05,-2.3e-05,0.032649,-0.032649,0.007339,-0.011588,0.008884,-0.008884
1.15,1.1,1.2,0.396866,2.6e-05,-2.6e-05,0.033358,-0.033358,0.00754,-0.011906,0.009127,-0.009127
1.3,1.2,1.4,0.421164,2.2e-05,-2.2e-05,0.040175,-0.040175,0.008002,-0.012634,0.009686,-0.009686
1.5,1.4,1.6,0.436634,2.9e-05,-2.9e-05,0.044681,-0.044681,0.008296,-0.013099,0.010042,-0.010042
1.7,1.6,1.8,0.452523,3.6e-05,-3.6e-05,0.05345,-0.05345,0.008597,-0.013575,0.010408,-0.010408
1.9,1.8,2.0,0.450048,4.4e-05,-4.4e-05,0.053147,-0.053147,0.00855,-0.013501,0.010351,-0.010351
2.1,2.0,2.2,0.451296,5.2e-05,-5.2e-05,0.060466,-0.060466,0.008574,-0.013538,0.010379,-0.010379
2.3,2.2,2.4,0.447195,6.2e-05,-6.2e-05,0.059916,-0.059916,0.008496,-0.013415,0.010285,-0.010285
2.8,2.4,3.2,0.408286,4.2e-05,-4.2e-05,0.062588,-0.062588,0.007757,-0.012248,0.00939,-0.00939
3.6,3.2,4.0,0.315087,6e-05,-6e-05,0.055462,-0.055462,0.005986,-0.009452,0.007247,-0.007247
4.4,4.0,4.8,0.230957,7.8e-05,-7.8e-05,0.040181,-0.040181,0.004388,-0.006928,0.005312,-0.005312
5.2,4.8,5.6,0.18346,0.0001,-0.0001,0.0274,-0.0274,0.00348,-0.0055,0.00421,-0.00421
6.0,5.6,6.4,0.16115,0.00013,-0.00013,0.02032,-0.02032,0.00306,-0.00483,0.0037,-0.0037
6.8,6.4,7.2,0.15013,0.00017,-0.00017,0.01413,-0.01413,0.00285,-0.0045,0.00345,-0.00345
8.4,7.2,9.6,0.1573,0.00016,-0.00016,0.01417,-0.01417,0.00298,-0.00471,0.00361,-0.00361
10.8,9.6,12.0,0.18697,0.00036,-0.00036,0.01685,-0.01685,0.00355,-0.0056,0.0043,-0.0043
13.2,12.0,14.4,0.2253,0.00071,-0.00071,0.0226,-0.0226,0.00428,-0.00675,0.00518,-0.00518
16.8,14.4,19.2,0.2752,0.001,-0.001,0.0276,-0.0276,0.0052,-0.0082,0.0063,-0.0063
21.6,19.2,24.0,0.3147,0.0021,-0.0021,0.0315,-0.0315,0.0059,-0.0094,0.0072,-0.0072
26.4,24.0,28.8,0.3503,0.0036,-0.0036,0.0351,-0.0351,0.0066,-0.0105,0.008,-0.008
32.0,28.8,35.2,0.3964,0.0051,-0.0051,0.0397,-0.0397,0.0075,-0.0118,0.0091,-0.0091
38.4,35.2,41.6,0.4457,0.0075,-0.0075,0.0447,-0.0447,0.0084,-0.0133,0.0102,-0.0102
44.8,41.6,48.0,0.5086,0.0091,-0.0091,0.05,-0.05,0.0096,-0.0152,0.0116,-0.0116
54.4,48.0,60.8,0.5697,0.008,-0.008,0.0561,-0.0561,0.0108,-0.017,0.0131,-0.0131
67.2,60.8,73.6,0.601,0.012,-0.012,0.06,-0.06,0.011,-0.018,0.014,-0.014
80.0,73.6,86.4,0.671,0.013,-0.013,0.066,-0.066,0.013,-0.02,0.015,-0.015
95.0,86.4,103.6,0.743,0.02,-0.02,0.074,-0.074,0.014,-0.022,0.017,-0.017
112.2,103.6,120.8,0.759,0.03,-0.03,0.076,-0.076,0.014,-0.023,0.017,-0.017
130.4,120.8,140.0,0.739,0.033,-0.033,0.074,-0.074,0.014,-0.022,0.017,-0.017
152.5,140.0,165.0,0.871,0.068,-0.068,0.087,-0.087,0.017,-0.026,0.02,-0.02
207.5,165.0,250.0,0.937,0.066,-0.066,0.095,-0.095,0.018,-0.028,0.022,-0.022
325.0,250.0,400.0,0.743,0.193,-0.193,0.076,-0.076,0.014,-0.022,0.017,-0.017

