#: table_doi: 10.17182/hepdata.77101.v2/t11
#: name: Table 11
#: description: PbPb nuclear modification factor measured in 30-50% PbPb centrality class.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,30-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.424114,2.7e-05,-2.7e-05,0.033216,-0.033216,0.023326,-0.022902,0.009754,-0.009754
0.85,0.8,0.9,0.45043,3e-05,-3e-05,0.035762,-0.035762,0.024773,-0.024323,0.010359,-0.010359
0.95,0.9,1.0,0.484956,3.3e-05,-3.3e-05,0.038683,-0.038683,0.026672,-0.026187,0.011154,-0.011154
1.05,1.0,1.1,0.509379,3.6e-05,-3.6e-05,0.04158,-0.04158,0.028015,-0.027506,0.011715,-0.011715
1.15,1.1,1.2,0.524695,4.2e-05,-4.2e-05,0.042578,-0.042578,0.028858,-0.028333,0.012068,-0.012068
1.3,1.2,1.4,0.550884,3.6e-05,-3.6e-05,0.051615,-0.051615,0.030298,-0.029747,0.01267,-0.01267
1.5,1.4,1.6,0.569072,4.5e-05,-4.5e-05,0.054673,-0.054673,0.031299,-0.030729,0.013088,-0.013088
1.7,1.6,1.8,0.585949,5.6e-05,-5.6e-05,0.06584,-0.06584,0.032227,-0.031641,0.013476,-0.013476
1.9,1.8,2.0,0.587203,6.8e-05,-6.8e-05,0.065967,-0.065967,0.032296,-0.031709,0.013505,-0.013505
2.1,2.0,2.2,0.583266,8.1e-05,-8.1e-05,0.074661,-0.074661,0.032079,-0.031496,0.013415,-0.013415
2.3,2.2,2.4,0.579059,9.6e-05,-9.6e-05,0.07412,-0.07412,0.031848,-0.031269,0.013318,-0.013318
2.8,2.4,3.2,0.542978,6.6e-05,-6.6e-05,0.074986,-0.074986,0.029863,-0.02932,0.012488,-0.012488
3.6,3.2,4.0,0.45736,0.0001,-0.0001,0.0631,-0.0631,0.02515,-0.02469,0.01051,-0.01051
4.4,4.0,4.8,0.40192,0.00015,-0.00015,0.05115,-0.05115,0.0221,-0.0217,0.00924,-0.00924
5.2,4.8,5.6,0.37352,0.00022,-0.00022,0.04319,-0.04319,0.02054,-0.02017,0.00859,-0.00859
6.0,5.6,6.4,0.35762,0.00031,-0.00031,0.03839,-0.03839,0.01966,-0.01931,0.00822,-0.00822
6.8,6.4,7.2,0.36283,0.00044,-0.00044,0.03672,-0.03672,0.01995,-0.01959,0.00834,-0.00834
8.4,7.2,9.6,0.3648,0.00041,-0.00041,0.0309,-0.0309,0.02006,-0.01969,0.00839,-0.00839
10.8,9.6,12.0,0.41498,0.00089,-0.00089,0.03427,-0.03427,0.02282,-0.0224,0.00954,-0.00954
13.2,12.0,14.4,0.4565,0.0015,-0.0015,0.0409,-0.0409,0.0251,-0.0246,0.0105,-0.0105
16.8,14.4,19.2,0.5064,0.0021,-0.0021,0.0454,-0.0454,0.0278,-0.0273,0.0116,-0.0116
21.6,19.2,24.0,0.5569,0.0041,-0.0041,0.0477,-0.0477,0.0306,-0.03,0.0128,-0.0128
26.4,24.0,28.8,0.5997,0.0068,-0.0068,0.0513,-0.0513,0.0329,-0.0323,0.0137,-0.0137
32.0,28.8,35.2,0.6436,0.0092,-0.0092,0.0551,-0.0551,0.0354,-0.0347,0.0148,-0.0148
38.4,35.2,41.6,0.684,0.013,-0.013,0.059,-0.059,0.038,-0.037,0.016,-0.016
44.8,41.6,48.0,0.746,0.015,-0.015,0.064,-0.064,0.041,-0.04,0.017,-0.017
54.4,48.0,60.8,0.803,0.013,-0.013,0.069,-0.069,0.044,-0.043,0.018,-0.018
67.2,60.8,73.6,0.785,0.015,-0.015,0.068,-0.068,0.043,-0.042,0.018,-0.018
80.0,73.6,86.4,0.823,0.018,-0.018,0.072,-0.072,0.045,-0.044,0.019,-0.019
95.0,86.4,103.6,0.847,0.024,-0.024,0.074,-0.074,0.047,-0.046,0.019,-0.019
112.2,103.6,120.8,0.87,0.041,-0.041,0.077,-0.077,0.048,-0.047,0.02,-0.02
130.4,120.8,140.0,0.901,0.061,-0.061,0.08,-0.08,0.05,-0.049,0.021,-0.021
152.5,140.0,165.0,0.848,0.081,-0.081,0.075,-0.075,0.047,-0.046,0.02,-0.02
207.5,165.0,250.0,1.0,0.109,-0.109,0.089,-0.089,0.055,-0.054,0.023,-0.023
325.0,250.0,400.0,0.697,0.319,-0.319,0.063,-0.063,0.038,-0.038,0.016,-0.016

