#: table_doi: 10.17182/hepdata.77101.v2/t9
#: name: Table 9
#: description: PbPb nuclear modification factor measured in 5-10% PbPb centrality class.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,5-10%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.311394,2.1e-05,-2.1e-05,0.024388,-0.024388,0.005916,-0.009341,0.007162,-0.007162
0.85,0.8,0.9,0.336371,2.3e-05,-2.3e-05,0.026282,-0.026282,0.006391,-0.010091,0.007736,-0.007736
0.95,0.9,1.0,0.370816,2.6e-05,-2.6e-05,0.029112,-0.029112,0.007045,-0.011124,0.008528,-0.008528
1.05,1.0,1.1,0.388852,2.8e-05,-2.8e-05,0.032865,-0.032865,0.007388,-0.011665,0.008943,-0.008943
1.15,1.1,1.2,0.400528,3.2e-05,-3.2e-05,0.033666,-0.033666,0.00761,-0.012015,0.009212,-0.009212
1.3,1.2,1.4,0.425308,2.8e-05,-2.8e-05,0.040577,-0.040577,0.008082,-0.012761,0.009783,-0.009783
1.5,1.4,1.6,0.441039,3.5e-05,-3.5e-05,0.045132,-0.045132,0.008379,-0.013231,0.010143,-0.010143
1.7,1.6,1.8,0.457111,4.4e-05,-4.4e-05,0.053992,-0.053992,0.008685,-0.013713,0.010513,-0.010513
1.9,1.8,2.0,0.454663,5.3e-05,-5.3e-05,0.053692,-0.053692,0.008638,-0.013639,0.010457,-0.010457
2.1,2.0,2.2,0.458014,6.4e-05,-6.4e-05,0.061367,-0.061367,0.008702,-0.01374,0.010534,-0.010534
2.3,2.2,2.4,0.45451,7.6e-05,-7.6e-05,0.060896,-0.060896,0.008635,-0.013635,0.010453,-0.010453
2.8,2.4,3.2,0.416773,5.1e-05,-5.1e-05,0.063889,-0.063889,0.007918,-0.012503,0.009585,-0.009585
3.6,3.2,4.0,0.32808,7.8e-05,-7.8e-05,0.057749,-0.057749,0.006233,-0.009842,0.007545,-0.007545
4.4,4.0,4.8,0.24461,0.0001,-0.0001,0.04255,-0.04255,0.00464,-0.00733,0.00562,-0.00562
5.2,4.8,5.6,0.19677,0.00014,-0.00014,0.02939,-0.02939,0.00373,-0.0059,0.00452,-0.00452
6.0,5.6,6.4,0.17419,0.00018,-0.00018,0.02196,-0.02196,0.0033,-0.00522,0.004,-0.004
6.8,6.4,7.2,0.16219,0.00024,-0.00024,0.01526,-0.01526,0.00308,-0.00486,0.00373,-0.00373
8.4,7.2,9.6,0.1698,0.00023,-0.00023,0.01529,-0.01529,0.00322,-0.00509,0.0039,-0.0039
10.8,9.6,12.0,0.19926,0.0005,-0.0005,0.01795,-0.01795,0.00378,-0.00597,0.00458,-0.00458
13.2,12.0,14.4,0.23037,0.00091,-0.00091,0.02311,-0.02311,0.00437,-0.00691,0.00529,-0.00529
16.8,14.4,19.2,0.2786,0.0013,-0.0013,0.0279,-0.0279,0.0052,-0.0083,0.0064,-0.0064
21.6,19.2,24.0,0.3167,0.0026,-0.0026,0.0317,-0.0317,0.006,-0.0095,0.0072,-0.0072
26.4,24.0,28.8,0.3511,0.0044,-0.0044,0.0351,-0.0351,0.0066,-0.0105,0.008,-0.008
32.0,28.8,35.2,0.3964,0.0063,-0.0063,0.0397,-0.0397,0.0075,-0.0118,0.0091,-0.0091
38.4,35.2,41.6,0.4409,0.0092,-0.0092,0.0442,-0.0442,0.0083,-0.0132,0.0101,-0.0101
44.8,41.6,48.0,0.52,0.012,-0.012,0.051,-0.051,0.01,-0.016,0.012,-0.012
54.4,48.0,60.8,0.583,0.011,-0.011,0.057,-0.057,0.011,-0.017,0.013,-0.013
67.2,60.8,73.6,0.594,0.015,-0.015,0.059,-0.059,0.011,-0.018,0.014,-0.014
80.0,73.6,86.4,0.679,0.016,-0.016,0.067,-0.067,0.013,-0.02,0.016,-0.016
95.0,86.4,103.6,0.729,0.027,-0.027,0.073,-0.073,0.014,-0.022,0.017,-0.017
112.2,103.6,120.8,0.777,0.045,-0.045,0.078,-0.078,0.015,-0.023,0.018,-0.018
130.4,120.8,140.0,0.756,0.049,-0.049,0.076,-0.076,0.014,-0.023,0.017,-0.017
152.5,140.0,165.0,0.802,0.069,-0.069,0.081,-0.081,0.015,-0.024,0.018,-0.018
207.5,165.0,250.0,0.98,0.098,-0.098,0.099,-0.099,0.019,-0.029,0.023,-0.023
325.0,250.0,400.0,0.594,0.249,-0.249,0.061,-0.061,0.011,-0.018,0.014,-0.014

