#: table_doi: 10.17182/hepdata.77101.v2/t12
#: name: Table 12
#: description: PbPb nuclear modification factor measured in 50-70% PbPb centrality class.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,50-70%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.53449,5.3e-05,-5.3e-05,0.041861,-0.041861,0.055052,-0.050776,0.012293,-0.012293
0.85,0.8,0.9,0.561551,5.9e-05,-5.9e-05,0.043793,-0.043793,0.057839,-0.053347,0.012915,-0.012915
0.95,0.9,1.0,0.588891,6.3e-05,-6.3e-05,0.046147,-0.046147,0.060655,-0.055944,0.013544,-0.013544
1.05,1.0,1.1,0.613617,6.8e-05,-6.8e-05,0.046088,-0.046088,0.063202,-0.058293,0.014113,-0.014113
1.15,1.1,1.2,0.62947,7.7e-05,-7.7e-05,0.046949,-0.046949,0.064835,-0.059799,0.014477,-0.014477
1.3,1.2,1.4,0.643896,6.4e-05,-6.4e-05,0.054829,-0.054829,0.066321,-0.06117,0.014809,-0.014809
1.5,1.4,1.6,0.660255,8e-05,-8e-05,0.054853,-0.054853,0.068006,-0.062724,0.015185,-0.015185
1.7,1.6,1.8,0.664142,9.8e-05,-9.8e-05,0.065168,-0.065168,0.068406,-0.063093,0.015275,-0.015275
1.9,1.8,2.0,0.66548,0.00011,-0.00011,0.06528,-0.06528,0.06854,-0.06322,0.0153,-0.0153
2.1,2.0,2.2,0.664,0.00014,-0.00014,0.07418,-0.07418,0.06839,-0.06308,0.01527,-0.01527
2.3,2.2,2.4,0.64985,0.00016,-0.00016,0.0726,-0.0726,0.06693,-0.06173,0.01494,-0.01494
2.8,2.4,3.2,0.62743,0.00011,-0.00011,0.07639,-0.07639,0.06462,-0.0596,0.01443,-0.01443
3.6,3.2,4.0,0.58673,0.0002,-0.0002,0.07266,-0.07266,0.06043,-0.05574,0.01349,-0.01349
4.4,4.0,4.8,0.55509,0.00031,-0.00031,0.06904,-0.06904,0.05717,-0.05273,0.01276,-0.01276
5.2,4.8,5.6,0.55096,0.00048,-0.00048,0.06376,-0.06376,0.05674,-0.05234,0.01267,-0.01267
6.0,5.6,6.4,0.55532,0.0007,-0.0007,0.06182,-0.06182,0.05719,-0.05275,0.01277,-0.01277
6.8,6.4,7.2,0.55328,0.00096,-0.00096,0.04734,-0.04734,0.05698,-0.05256,0.01272,-0.01272
8.4,7.2,9.6,0.5714,0.00093,-0.00093,0.04462,-0.04462,0.05885,-0.05428,0.01314,-0.01314
10.8,9.6,12.0,0.635,0.0019,-0.0019,0.0486,-0.0486,0.0654,-0.0603,0.0146,-0.0146
13.2,12.0,14.4,0.6571,0.0032,-0.0032,0.0576,-0.0576,0.0676,-0.0624,0.0151,-0.0151
16.8,14.4,19.2,0.6762,0.0039,-0.0039,0.0543,-0.0543,0.0696,-0.0642,0.0155,-0.0155
21.6,19.2,24.0,0.7333,0.0076,-0.0076,0.0556,-0.0556,0.0755,-0.0696,0.0168,-0.0168
26.4,24.0,28.8,0.75,0.011,-0.011,0.057,-0.057,0.077,-0.071,0.017,-0.017
32.0,28.8,35.2,0.804,0.015,-0.015,0.061,-0.061,0.083,-0.076,0.018,-0.018
38.4,35.2,41.6,0.798,0.017,-0.017,0.061,-0.061,0.082,-0.076,0.018,-0.018
44.8,41.6,48.0,0.833,0.019,-0.019,0.064,-0.064,0.086,-0.079,0.019,-0.019
54.4,48.0,60.8,0.859,0.015,-0.015,0.066,-0.066,0.088,-0.082,0.02,-0.02
67.2,60.8,73.6,0.831,0.022,-0.022,0.064,-0.064,0.086,-0.079,0.019,-0.019
80.0,73.6,86.4,0.927,0.036,-0.036,0.072,-0.072,0.096,-0.088,0.021,-0.021
95.0,86.4,103.6,0.837,0.047,-0.047,0.066,-0.066,0.086,-0.079,0.019,-0.019
112.2,103.6,120.8,0.971,0.085,-0.085,0.077,-0.077,0.1,-0.092,0.022,-0.022
130.4,120.8,140.0,0.933,0.124,-0.124,0.074,-0.074,0.096,-0.089,0.021,-0.021
152.5,140.0,165.0,1.113,0.187,-0.187,0.088,-0.088,0.115,-0.106,0.026,-0.026
207.5,165.0,250.0,0.809,0.187,-0.187,0.065,-0.065,0.083,-0.077,0.019,-0.019
325.0,250.0,400.0,1.068,0.763,-0.763,0.088,-0.088,0.11,-0.101,0.025,-0.025

