#: table_doi: 10.17182/hepdata.77101.v2/t13
#: name: Table 13
#: description: PbPb nuclear modification factor measured in 70-90% PbPb centrality class.
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,70-90%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.6471,0.00013,-0.00013,0.05068,-0.05068,0.10418,-0.09124,0.01488,-0.01488
0.85,0.8,0.9,0.6642,0.00014,-0.00014,0.05179,-0.05179,0.10693,-0.09365,0.01527,-0.01527
0.95,0.9,1.0,0.69087,0.00015,-0.00015,0.05413,-0.05413,0.11123,-0.09741,0.01589,-0.01589
1.05,1.0,1.1,0.70787,0.00016,-0.00016,0.05161,-0.05161,0.11396,-0.09981,0.01628,-0.01628
1.15,1.1,1.2,0.71546,0.00018,-0.00018,0.05178,-0.05178,0.11519,-0.10088,0.01645,-0.01645
1.3,1.2,1.4,0.72108,0.00015,-0.00015,0.06,-0.06,0.11609,-0.10167,0.01658,-0.01658
1.5,1.4,1.6,0.72787,0.00019,-0.00019,0.05823,-0.05823,0.11718,-0.10263,0.01674,-0.01674
1.7,1.6,1.8,0.72582,0.00022,-0.00022,0.06934,-0.06934,0.11685,-0.10234,0.01669,-0.01669
1.9,1.8,2.0,0.72539,0.00027,-0.00027,0.06928,-0.06928,0.11678,-0.10228,0.016684,-0.016684
2.1,2.0,2.2,0.72422,0.00033,-0.00033,0.07927,-0.07927,0.1166,-0.10211,0.016657,-0.016657
2.3,2.2,2.4,0.7134,0.00038,-0.00038,0.07809,-0.07809,0.11485,-0.10059,0.016408,-0.016408
2.8,2.4,3.2,0.70495,0.00027,-0.00027,0.08437,-0.08437,0.11349,-0.09939,0.016213,-0.016213
3.6,3.2,4.0,0.69287,0.00049,-0.00049,0.0844,-0.0844,0.11155,-0.09769,0.015936,-0.015936
4.4,4.0,4.8,0.68811,0.00079,-0.00079,0.08419,-0.08419,0.11078,-0.09702,0.015826,-0.015826
5.2,4.8,5.6,0.7007,0.0012,-0.0012,0.0795,-0.0795,0.1128,-0.0988,0.0161,-0.0161
6.0,5.6,6.4,0.7061,0.0018,-0.0018,0.077,-0.077,0.1136,-0.0995,0.0162,-0.0162
6.8,6.4,7.2,0.7026,0.0024,-0.0024,0.058,-0.058,0.1131,-0.099,0.0161,-0.0161
8.4,7.2,9.6,0.7103,0.0023,-0.0023,0.0531,-0.0531,0.1143,-0.1001,0.0163,-0.0163
10.8,9.6,12.0,0.7507,0.0047,-0.0047,0.0549,-0.0549,0.1208,-0.1058,0.0172,-0.0172
13.2,12.0,14.4,0.7536,0.0077,-0.0077,0.0638,-0.0638,0.1213,-0.1062,0.0173,-0.0173
16.8,14.4,19.2,0.74,0.0093,-0.0093,0.057,-0.057,0.1191,-0.1043,0.017,-0.017
21.6,19.2,24.0,0.761,0.017,-0.017,0.055,-0.055,0.122,-0.107,0.017,-0.017
26.4,24.0,28.8,0.74,0.026,-0.026,0.053,-0.053,0.119,-0.104,0.017,-0.017
32.0,28.8,35.2,0.655,0.026,-0.026,0.048,-0.048,0.106,-0.092,0.015,-0.015
38.4,35.2,41.6,0.763,0.038,-0.038,0.055,-0.055,0.123,-0.108,0.018,-0.018
44.8,41.6,48.0,0.763,0.035,-0.035,0.056,-0.056,0.123,-0.108,0.018,-0.018
54.4,48.0,60.8,0.731,0.038,-0.038,0.054,-0.054,0.118,-0.103,0.017,-0.017
67.2,60.8,73.6,0.773,0.048,-0.048,0.057,-0.057,0.124,-0.109,0.018,-0.018
80.0,73.6,86.4,0.65,0.071,-0.071,0.048,-0.048,0.105,-0.092,0.015,-0.015
95.0,86.4,103.6,0.943,0.121,-0.121,0.071,-0.071,0.152,-0.133,0.022,-0.022
112.2,103.6,120.8,0.696,0.169,-0.169,0.053,-0.053,0.112,-0.098,0.016,-0.016
130.4,120.8,140.0,0.686,0.26,-0.26,0.052,-0.052,0.11,-0.097,0.016,-0.016
152.5,140.0,165.0,1.448,0.513,-0.513,0.11,-0.11,0.233,-0.204,0.033,-0.033
207.5,165.0,250.0,0.482,0.341,-0.341,0.037,-0.037,0.078,-0.068,0.011,-0.011

