#: table_doi: 10.17182/hepdata.77101.v2/t8
#: name: Table 8
#: description: PbPb nuclear modification factor measured in 0-5% PbPb centrality class.
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword energies: 5020.0
#: RE,,,PB PB --> CHARGED X
#: TRACK ETA,,,-1.0 TO 1.0
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,"sys,TAA +","sys,TAA -","sys,lumi +","sys,lumi -"
0.75,0.7,0.8,0.312275,1.9e-05,-1.9e-05,0.024457,-0.024457,0.00562,-0.009368,0.007182,-0.007182
0.85,0.8,0.9,0.332891,2.2e-05,-2.2e-05,0.02601,-0.02601,0.005992,-0.009986,0.007656,-0.007656
0.95,0.9,1.0,0.361109,2.4e-05,-2.4e-05,0.02835,-0.02835,0.006499,-0.010833,0.008305,-0.008305
1.05,1.0,1.1,0.383584,2.6e-05,-2.6e-05,0.03242,-0.03242,0.006904,-0.011507,0.008822,-0.008822
1.15,1.1,1.2,0.393276,3e-05,-3e-05,0.033056,-0.033056,0.007078,-0.011798,0.009045,-0.009045
1.3,1.2,1.4,0.4171,2.6e-05,-2.6e-05,0.039787,-0.039787,0.007507,-0.012513,0.009593,-0.009593
1.5,1.4,1.6,0.432394,3.3e-05,-3.3e-05,0.044247,-0.044247,0.007783,-0.012971,0.009945,-0.009945
1.7,1.6,1.8,0.448111,4.1e-05,-4.1e-05,0.052929,-0.052929,0.008066,-0.013443,0.010306,-0.010306
1.9,1.8,2.0,0.445619,4.9e-05,-4.9e-05,0.052624,-0.052624,0.008021,-0.013368,0.010249,-0.010249
2.1,2.0,2.2,0.445238,5.9e-05,-5.9e-05,0.059655,-0.059655,0.008014,-0.013357,0.01024,-0.01024
2.3,2.2,2.4,0.440683,7e-05,-7e-05,0.059043,-0.059043,0.007932,-0.01322,0.010135,-0.010135
2.8,2.4,3.2,0.400942,4.7e-05,-4.7e-05,0.061462,-0.061462,0.007216,-0.012028,0.009221,-0.009221
3.6,3.2,4.0,0.304434,6.8e-05,-6.8e-05,0.053587,-0.053587,0.005479,-0.009133,0.007001,-0.007001
4.4,4.0,4.8,0.219952,8.9e-05,-8.9e-05,0.038267,-0.038267,0.003959,-0.006598,0.005058,-0.005058
5.2,4.8,5.6,0.17281,0.00011,-0.00011,0.02581,-0.02581,0.00311,-0.00518,0.00397,-0.00397
6.0,5.6,6.4,0.15076,0.00015,-0.00015,0.01901,-0.01901,0.00271,-0.00452,0.00346,-0.00346
6.8,6.4,7.2,0.14053,0.0002,-0.0002,0.01323,-0.01323,0.00253,-0.00421,0.00323,-0.00323
8.4,7.2,9.6,0.14733,0.00019,-0.00019,0.01327,-0.01327,0.00265,-0.00442,0.00338,-0.00338
10.8,9.6,12.0,0.17711,0.00042,-0.00042,0.01596,-0.01596,0.00319,-0.00531,0.00407,-0.00407
13.2,12.0,14.4,0.22096,0.00084,-0.00084,0.02217,-0.02217,0.00398,-0.00662,0.00508,-0.00508
16.8,14.4,19.2,0.2721,0.0012,-0.0012,0.0273,-0.0273,0.0049,-0.0082,0.0063,-0.0063
21.6,19.2,24.0,0.3126,0.0025,-0.0025,0.0313,-0.0313,0.0056,-0.0094,0.0072,-0.0072
26.4,24.0,28.8,0.349,0.0042,-0.0042,0.0349,-0.0349,0.0063,-0.0105,0.008,-0.008
32.0,28.8,35.2,0.3957,0.006,-0.006,0.0397,-0.0397,0.0071,-0.0119,0.0091,-0.0091
38.4,35.2,41.6,0.4485,0.0089,-0.0089,0.045,-0.045,0.0081,-0.0135,0.0103,-0.0103
44.8,41.6,48.0,0.4987,0.011,-0.011,0.0491,-0.0491,0.009,-0.015,0.0114,-0.0114
54.4,48.0,60.8,0.559,0.01,-0.01,0.055,-0.055,0.01,-0.017,0.013,-0.013
67.2,60.8,73.6,0.605,0.016,-0.016,0.06,-0.06,0.011,-0.018,0.014,-0.014
80.0,73.6,86.4,0.664,0.019,-0.019,0.066,-0.066,0.012,-0.02,0.015,-0.015
95.0,86.4,103.6,0.753,0.029,-0.029,0.075,-0.075,0.014,-0.023,0.017,-0.017
112.2,103.6,120.8,0.743,0.038,-0.038,0.075,-0.075,0.013,-0.022,0.017,-0.017
130.4,120.8,140.0,0.725,0.043,-0.043,0.073,-0.073,0.013,-0.022,0.017,-0.017
152.5,140.0,165.0,0.922,0.106,-0.106,0.093,-0.093,0.017,-0.028,0.021,-0.021
207.5,165.0,250.0,0.902,0.083,-0.083,0.091,-0.091,0.016,-0.027,0.021,-0.021
325.0,250.0,400.0,0.856,0.271,-0.271,0.088,-0.088,0.015,-0.026,0.02,-0.02

